月份,花叶类,花菜类,水生根茎类,茄类,辣椒类,食用菌
1,196.237923,45.098440,66.948066,19.779802,112.147593,107.992297
2,177.708537,41.918598,49.574183,22.563963,118.109622,92.615476
3,149.629849,27.739613,27.054581,16.789839,95.868817,61.636720
4,150.597667,28.148289,15.505767,20.318867,82.136911,52.049122
5,151.665022,29.085097,9.539914,26.639849,71.166667,43.599140
6,147.745333,27.722322,13.316344,28.543222,66.050656,43.483922
7,187.085355,48.077903,29.468140,31.192699,66.023161,48.546419
8,263.613290,52.977452,48.471796,29.421387,106.311355,56.970484
9,208.205656,39.935000,41.924278,16.871644,75.113922,56.260100
10,206.874108,42.061140,53.099613,15.076828,85.480903,91.912344
11,171.774747,44.649862,41.288069,10.772402,70.834747,93.790402
12,183.570344,34.965767,54.455467,9.560678,66.486678,97.121722

