年份,月份,花叶类,花菜类,水生根茎类,茄类,辣椒类,食用菌
2020,7,212.926129,49.147742,10.717935,44.050032,71.006129,52.228097
2020,8,234.242484,56.408323,27.973548,36.754613,91.048839,52.791097
2020,9,189.048400,44.535533,26.631033,22.389733,66.413767,54.773533
2020,10,206.359387,53.063323,43.358645,24.902161,61.607161,96.834548
2020,11,217.327300,64.793867,32.060767,14.442400,61.271167,109.415433
2020,12,222.636097,39.868452,61.246645,13.193387,46.068742,112.203129
2021,1,206.844935,40.724097,62.029355,16.180355,61.936452,98.183806
2021,2,221.125346,57.738885,75.445077,33.738231,147.099731,142.057000
2021,3,163.456452,37.621355,29.177419,19.870129,83.105903,72.478419
2021,4,163.878167,46.013267,17.475933,20.647900,65.239233,45.998133
2021,5,176.290355,35.754387,9.971516,23.342290,74.073355,37.560871
2021,6,154.433700,40.819067,10.949933,27.391433,64.559833,37.428400
2021,7,179.629323,46.697871,17.541903,31.212323,51.724452,35.604548
2021,8,229.463129,23.316258,36.022161,31.241903,65.852839,50.972355
2021,9,162.306633,25.982800,46.811033,24.714600,49.874900,45.832867
2021,10,131.552806,23.998710,47.966355,15.234806,52.039903,48.751548
2021,11,63.082667,20.031033,42.516200,8.365433,26.800000,54.709233
2021,12,95.489419,24.637806,42.978581,7.689032,38.301065,66.831871
2022,1,129.433167,45.280800,67.726667,21.254800,103.369567,74.961867
2022,2,124.073179,32.271500,34.226107,21.662821,80.407536,46.144250
2022,3,108.396871,16.513839,26.909000,16.151161,76.784548,25.314645
2022,4,116.435900,14.581000,10.982500,20.597400,73.134267,27.414467
2022,5,110.106129,24.860645,5.091226,32.055742,49.610677,24.587903
2022,6,133.462400,24.574933,11.972867,32.594400,43.061033,35.723867
2022,7,168.700613,48.388097,60.144581,18.315742,75.338903,57.806613
2022,8,327.134258,79.207774,81.419677,20.267645,162.032387,67.148000
2022,9,273.261933,49.286667,52.330767,3.510600,109.053100,68.173900
2022,10,282.710129,49.121387,67.973839,5.093516,142.795645,130.150935
2022,11,241.929778,49.621889,50.176037,9.369037,130.388444,119.852778
2022,12,237.837143,40.972321,59.643214,7.610929,120.297750,113.959643
2023,1,252.082100,49.436233,71.252133,22.024233,172.810467,151.158167
2023,2,191.028286,36.875429,40.899286,13.089000,128.892321,93.176714
2023,3,177.036226,29.083645,25.077323,14.348226,127.716000,87.117097
2023,4,171.478933,23.850600,18.058867,19.711300,108.037233,82.734767
2023,5,168.598581,26.640258,13.557000,24.521516,89.815968,68.648645
2023,6,155.339900,17.772967,17.026233,25.643833,90.531100,57.299500

