单品编码_A,单品名称_A,分类名称_A,单品编码_B,单品名称_B,分类名称_B,共同有销售记录日数,Pearson相关,Spearman相关,最大绝对相关,Pearson_Spearman绝对差,Pearson_Spearman同号
102900005115250,西峡花菇(1),食用菌,102900005117209,七彩椒(1),辣椒类,30,0.830698,-0.170653,0.830698,1.001351,False
102900005118831,娃娃菜,花叶类,102900011032213,红杭椒(份),辣椒类,45,0.462285,-0.327687,0.462285,0.789972,False
102900005115885,蔡甸藜蒿,花叶类,102900005117209,七彩椒(1),辣椒类,104,0.534269,-0.221842,0.534269,0.756111,False
102900011009277,荸荠,水生根茎类,102900011030929,鲜木耳(份),食用菌,37,0.673063,-0.078689,0.673063,0.751753,False
102900005115250,西峡花菇(1),食用菌,102900011001219,红灯笼椒(1),辣椒类,36,0.799924,0.048649,0.799924,0.751276,True
102900005117209,七彩椒(1),辣椒类,106930274220092,蟹味菇(袋),食用菌,34,0.726213,0.001790,0.726213,0.724423,True
102900005116790,黄心菜(1),花叶类,106949711300259,金针菇(盒),食用菌,42,0.629103,-0.071652,0.629103,0.700754,False
102900005116233,红椒(1),辣椒类,102900005117209,七彩椒(1),辣椒类,267,0.740321,0.064478,0.740321,0.675843,True
102900005117209,七彩椒(1),辣椒类,102900011018095,虫草花(袋),食用菌,90,0.636588,-0.008223,0.636588,0.644810,False
102900005116233,红椒(1),辣椒类,106930274220092,蟹味菇(袋),食用菌,99,0.843200,0.223067,0.843200,0.620132,True
102900011001219,红灯笼椒(1),辣椒类,106930274220092,蟹味菇(袋),食用菌,30,0.650980,0.031382,0.650980,0.619598,True
102900005117209,七彩椒(1),辣椒类,106949711300259,金针菇(盒),食用菌,36,0.813935,0.194786,0.813935,0.619149,True
102900005115625,本地小毛白菜,花叶类,102900005116257,紫茄子(2),茄类,36,0.709358,0.110174,0.709358,0.599184,True
102900005116219,红尖椒,辣椒类,102900011021842,洪湖莲藕(粉藕),水生根茎类,36,0.567075,-0.028716,0.567075,0.595791,False
102900005117209,七彩椒(1),辣椒类,102900011016701,芜湖青椒(1),辣椒类,109,0.606824,0.040564,0.606824,0.566261,True
102900005118817,菠菜,花叶类,102900011030905,鱼腥草(份),花叶类,40,0.739336,0.179932,0.739336,0.559403,True
102900011000328,螺丝椒,辣椒类,102900011030929,鲜木耳(份),食用菌,52,0.538792,-0.016947,0.538792,0.555739,False
102900005119098,双孢菇,食用菌,102900011001813,金针菇(袋)(1),食用菌,31,0.523473,-0.025819,0.523473,0.549293,False
102900005115250,西峡花菇(1),食用菌,102900011021842,洪湖莲藕(粉藕),水生根茎类,107,0.686672,0.138920,0.686672,0.547752,True
102900005117209,七彩椒(1),辣椒类,102900011031100,小米椒(份),辣椒类,36,0.787251,0.246893,0.787251,0.540358,True
102900011009970,青梗散花,花菜类,106930274220092,蟹味菇(袋),食用菌,99,0.632697,0.099228,0.632697,0.533468,True
102900005117209,七彩椒(1),辣椒类,106958851400125,海鲜菇(袋)(4),食用菌,89,0.599189,0.067700,0.599189,0.531489,True
102900005116547,金针菇(1),食用菌,106930274220092,蟹味菇(袋),食用菌,96,0.792641,0.261283,0.792641,0.531358,True
102900011023464,小青菜(1),花叶类,102900011032787,竹叶菜(份),花叶类,43,-0.455636,0.071863,0.455636,0.527499,False
102900011009277,荸荠,水生根茎类,102900011033944,杏鲍菇(2),食用菌,41,0.593425,0.074739,0.593425,0.518686,True
102900005117209,七彩椒(1),辣椒类,102900005125808,小米椒,辣椒类,264,0.639173,0.122320,0.639173,0.516852,True
102900005116790,黄心菜(1),花叶类,102900011032848,姜蒜小米椒组合装(小份),辣椒类,38,0.492921,-0.022788,0.492921,0.515709,False
102900005115984,云南油麦菜,花叶类,102900011032787,竹叶菜(份),花叶类,44,0.437094,-0.078394,0.437094,0.515488,False
102900011000571,随州泡泡青,花叶类,102900011030110,菠菜(份),花叶类,33,0.815726,0.302753,0.815726,0.512973,True
102900005125808,小米椒,辣椒类,102900011030141,上海青(份),花叶类,43,0.649295,0.137607,0.649295,0.511688,True
102900005116943,红杭椒,辣椒类,102900011021842,洪湖莲藕(粉藕),水生根茎类,152,0.774160,0.263516,0.774160,0.510643,True
102900005115625,本地小毛白菜,花叶类,102900011032213,红杭椒(份),辣椒类,30,0.501083,-0.009040,0.501083,0.510123,False
102900005117209,七彩椒(1),辣椒类,102900011000328,螺丝椒,辣椒类,273,0.536045,0.034912,0.536045,0.501133,True
102900005116257,紫茄子(2),茄类,106930274220092,蟹味菇(袋),食用菌,99,0.792489,0.294063,0.792489,0.498426,True
102900011001219,红灯笼椒(1),辣椒类,102900011016701,芜湖青椒(1),辣椒类,88,0.633775,0.139483,0.633775,0.494292,True
102900005125808,小米椒,辣椒类,106930274220092,蟹味菇(袋),食用菌,95,0.826882,0.338215,0.826882,0.488667,True
102900005119098,双孢菇,食用菌,106930274220092,蟹味菇(袋),食用菌,46,0.606730,0.119924,0.606730,0.486807,True
102900005118831,娃娃菜,花叶类,106949711300167,金针菇(袋)(2),食用菌,30,0.464096,-0.021872,0.464096,0.485968,False
102900011001219,红灯笼椒(1),辣椒类,102900011018095,虫草花(袋),食用菌,89,0.573405,0.088142,0.573405,0.485264,True
102900005116233,红椒(1),辣椒类,102900011001219,红灯笼椒(1),辣椒类,243,0.599925,0.115314,0.599925,0.484611,True
102900005115250,西峡花菇(1),食用菌,102900011012994,杏鲍菇(袋),食用菌,52,0.757143,0.278246,0.757143,0.478897,True
102900005116233,红椒(1),辣椒类,102900011018095,虫草花(袋),食用菌,140,0.755931,0.277421,0.755931,0.478509,True
102900011018095,虫草花(袋),食用菌,102900011021842,洪湖莲藕(粉藕),水生根茎类,74,0.768662,0.292062,0.768662,0.476600,True
102900005115885,蔡甸藜蒿,花叶类,102900011001219,红灯笼椒(1),辣椒类,103,0.413551,-0.062130,0.413551,0.475681,False
102900005116257,紫茄子(2),茄类,102900011021842,洪湖莲藕(粉藕),水生根茎类,349,0.724969,0.252350,0.724969,0.472619,True
102900011012994,杏鲍菇(袋),食用菌,102900011016701,芜湖青椒(1),辣椒类,193,0.693280,0.223059,0.693280,0.470222,True
102900005116233,红椒(1),辣椒类,102900005125808,小米椒,辣椒类,570,0.807235,0.339066,0.807235,0.468169,True
102900051004294,青线椒,辣椒类,106930274220092,蟹味菇(袋),食用菌,98,0.677653,0.213178,0.677653,0.464475,True
102900011016701,芜湖青椒(1),辣椒类,106930274220092,蟹味菇(袋),食用菌,65,0.802947,0.340310,0.802947,0.462637,True
102900011012994,杏鲍菇(袋),食用菌,106930274220092,蟹味菇(袋),食用菌,86,0.655820,0.197122,0.655820,0.458698,True

