单品编码_A,单品名称_A,分类名称_A,单品编码_B,单品名称_B,分类名称_B,共同有销售记录日数,Pearson相关,Spearman相关,最大绝对相关,Pearson_Spearman绝对差,Pearson_Spearman同号
102900005115250,西峡花菇(1),食用菌,102900005116233,红椒(1),辣椒类,164,0.874760,0.445408,0.874760,0.429352,True
102900005116943,红杭椒,辣椒类,106930274220092,蟹味菇(袋),食用菌,95,0.860738,0.407276,0.860738,0.453462,True
102900005115250,西峡花菇(1),食用菌,102900005125808,小米椒,辣椒类,65,0.859163,0.588593,0.859163,0.270570,True
102900005116233,红椒(1),辣椒类,106930274220092,蟹味菇(袋),食用菌,99,0.843200,0.223067,0.843200,0.620132,True
102900005115250,西峡花菇(1),食用菌,102900005116943,红杭椒,辣椒类,65,0.837502,0.422868,0.837502,0.414634,True
102900005125808,小米椒,辣椒类,106930274220092,蟹味菇(袋),食用菌,95,0.826882,0.338215,0.826882,0.488667,True
102900005115250,西峡花菇(1),食用菌,102900011009970,青梗散花,花菜类,63,0.826725,0.455195,0.826725,0.371530,True
102900005116233,红椒(1),辣椒类,102900005125808,小米椒,辣椒类,570,0.807235,0.339066,0.807235,0.468169,True
102900005116233,红椒(1),辣椒类,102900011021842,洪湖莲藕(粉藕),水生根茎类,188,0.805605,0.366311,0.805605,0.439295,True
102900011016701,芜湖青椒(1),辣椒类,106930274220092,蟹味菇(袋),食用菌,65,0.802947,0.340310,0.802947,0.462637,True
102900011012994,杏鲍菇(袋),食用菌,102900011021842,洪湖莲藕(粉藕),水生根茎类,124,0.802472,0.424431,0.802472,0.378041,True
102900011018095,虫草花(袋),食用菌,106930274220092,蟹味菇(袋),食用菌,64,0.793222,0.425464,0.793222,0.367758,True
102900005116547,金针菇(1),食用菌,106930274220092,蟹味菇(袋),食用菌,96,0.792641,0.261283,0.792641,0.531358,True
102900005116257,紫茄子(2),茄类,106930274220092,蟹味菇(袋),食用菌,99,0.792489,0.294063,0.792489,0.498426,True
102900005125808,小米椒,辣椒类,102900011021842,洪湖莲藕(粉藕),水生根茎类,160,0.788548,0.395328,0.788548,0.393220,True
102900005125808,小米椒,辣椒类,102900011018095,虫草花(袋),食用菌,139,0.776217,0.383673,0.776217,0.392544,True
102900005115250,西峡花菇(1),食用菌,102900051004294,青线椒,辣椒类,162,0.774734,0.328354,0.774734,0.446380,True
102900005116943,红杭椒,辣椒类,102900011021842,洪湖莲藕(粉藕),水生根茎类,152,0.774160,0.263516,0.774160,0.510643,True
102900005115250,西峡花菇(1),食用菌,102900005116837,平菇,食用菌,68,0.772027,0.609994,0.772027,0.162033,True
102900011030097,云南油麦菜(份),花叶类,102900051004294,青线椒,辣椒类,100,0.771893,0.354258,0.771893,0.417635,True

