单品编码_A,单品名称_A,分类名称_A,单品编码_B,单品名称_B,分类名称_B,共同有销售记录日数,Pearson相关,Spearman相关,最大绝对相关,Pearson_Spearman绝对差,Pearson_Spearman同号
102900005115960,大白菜,花叶类,102900011008522,甜白菜,花叶类,248,-0.449919,-0.598781,0.598781,0.148861,True
102900005116837,平菇,食用菌,102900011008522,甜白菜,花叶类,118,-0.401172,-0.521704,0.521704,0.120532,True
102900005115779,云南生菜,花叶类,102900011030059,云南生菜(份),花叶类,135,-0.398977,-0.406885,0.406885,0.007908,True
102900005115786,竹叶菜,花叶类,106949711300068,金针菇(袋)(3),食用菌,190,-0.395313,-0.512162,0.512162,0.116849,True
102900005119975,红薯尖,花叶类,106958851400125,海鲜菇(袋)(4),食用菌,205,-0.385921,-0.407753,0.407753,0.021831,True
102900011009444,大龙茄子,茄类,102900011011546,海鲜菇(袋)(1),食用菌,96,-0.383300,-0.575410,0.575410,0.192111,True
102900011008522,甜白菜,花叶类,102900011011546,海鲜菇(袋)(1),食用菌,153,-0.383151,-0.573283,0.573283,0.190132,True
102900005115786,竹叶菜,花叶类,106958851400125,海鲜菇(袋)(4),食用菌,217,-0.380338,-0.479762,0.479762,0.099424,True
102900011006689,东门口小白菜,花叶类,102900011032220,水果辣椒(份),辣椒类,60,-0.379467,-0.342113,0.379467,0.037354,True
102900005115793,小白菜,花叶类,102900005116837,平菇,食用菌,137,-0.375510,-0.407027,0.407027,0.031517,True
102900005116837,平菇,食用菌,102900005119975,红薯尖,花叶类,112,-0.375083,-0.335053,0.375083,0.040030,True
102900005125815,杏鲍菇(1),食用菌,102900011011546,海鲜菇(袋)(1),食用菌,171,-0.373995,-0.491471,0.491471,0.117476,True
102900005115908,菜心,花叶类,102900011030134,菜心(份),花叶类,70,-0.371961,-0.351314,0.371961,0.020647,True
102900011008522,甜白菜,花叶类,106949711300068,金针菇(袋)(3),食用菌,74,-0.371035,-0.388762,0.388762,0.017727,True
102900005116509,青茄子(1),茄类,102900011011546,海鲜菇(袋)(1),食用菌,167,-0.368841,-0.446344,0.446344,0.077502,True
102900005115786,竹叶菜,花叶类,102900005116837,平菇,食用菌,150,-0.366094,-0.506640,0.506640,0.140547,True
102900005115786,竹叶菜,花叶类,102900011033906,保康高山大白菜,花叶类,66,-0.362706,-0.372383,0.372383,0.009677,True
102900011000328,螺丝椒,辣椒类,102900011011546,海鲜菇(袋)(1),食用菌,171,-0.361303,-0.530641,0.530641,0.169338,True
102900005115793,小白菜,花叶类,102900011011546,海鲜菇(袋)(1),食用菌,122,-0.357755,-0.484508,0.484508,0.126753,True
102900005119975,红薯尖,花叶类,102900011030134,菜心(份),花叶类,78,-0.356727,-0.190058,0.356727,0.166669,True

