单品编码_A,单品名称_A,分类名称_A,单品编码_B,单品名称_B,分类名称_B,共同有销售记录日数,Pearson相关,Spearman相关,最大绝对相关,Pearson_Spearman绝对差,Pearson_Spearman同号,共同最弱相关绝对值
102900011030059,云南生菜(份),花叶类,102900011030097,云南油麦菜(份),花叶类,387,0.727346,0.720621,0.727346,0.006725,True,0.720621
102900005115960,大白菜,花叶类,102900005116837,平菇,食用菌,262,0.699890,0.745773,0.745773,0.045883,True,0.699890
102900011032022,小皱皮(份),辣椒类,102900011032787,竹叶菜(份),花叶类,62,0.692154,0.719642,0.719642,0.027488,True,0.692154
102900011030141,上海青(份),花叶类,102900011032787,竹叶菜(份),花叶类,66,0.663672,0.735355,0.735355,0.071683,True,0.663672
106949711300068,金针菇(袋)(3),食用菌,106958851400125,海鲜菇(袋)(4),食用菌,216,0.671243,0.663410,0.671243,0.007833,True,0.663410
102900005116257,紫茄子(2),茄类,106971533450003,海鲜菇(包),食用菌,119,0.658016,0.685388,0.685388,0.027372,True,0.658016
102900011030097,云南油麦菜(份),花叶类,102900011030141,上海青(份),花叶类,250,0.655674,0.713002,0.713002,0.057327,True,0.655674
102900005115960,大白菜,花叶类,102900011011546,海鲜菇(袋)(1),食用菌,170,0.653668,0.736919,0.736919,0.083251,True,0.653668
102900011030134,菜心(份),花叶类,102900011032787,竹叶菜(份),花叶类,70,0.653643,0.698709,0.698709,0.045066,True,0.653643
102900011008164,奶白菜,花叶类,106971533450003,海鲜菇(包),食用菌,97,0.653060,0.684027,0.684027,0.030967,True,0.653060
102900011030097,云南油麦菜(份),花叶类,102900011032787,竹叶菜(份),花叶类,63,0.652798,0.727826,0.727826,0.075029,True,0.652798
102900011030059,云南生菜(份),花叶类,102900011032787,竹叶菜(份),花叶类,64,0.644105,0.738071,0.738071,0.093966,True,0.644105
102900005118831,娃娃菜,花叶类,106949711300259,金针菇(盒),食用菌,232,0.698620,0.642427,0.698620,0.056193,True,0.642427
102900011030059,云南生菜(份),花叶类,102900011030141,上海青(份),花叶类,245,0.641587,0.664908,0.664908,0.023321,True,0.641587
102900011030141,上海青(份),花叶类,102900051010455,黄白菜(2),花叶类,198,0.643503,0.640878,0.643503,0.002624,True,0.640878
102900011009277,荸荠,水生根茎类,106949711300259,金针菇(盒),食用菌,74,0.757567,0.635367,0.757567,0.122200,True,0.635367
102900005125815,杏鲍菇(1),食用菌,102900011009444,大龙茄子,茄类,196,0.725320,0.634974,0.725320,0.090346,True,0.634974
102900011030059,云南生菜(份),花叶类,102900011030110,菠菜(份),花叶类,338,0.653530,0.625124,0.653530,0.028406,True,0.625124
102900005116714,西兰花,花菜类,102900011032787,竹叶菜(份),花叶类,76,0.625901,0.612844,0.625901,0.013058,True,0.612844
102900005115250,西峡花菇(1),食用菌,102900005116837,平菇,食用菌,68,0.772027,0.609994,0.772027,0.162033,True,0.609994
102900005116837,平菇,食用菌,102900005116899,净藕(1),水生根茎类,359,0.605727,0.644771,0.644771,0.039044,True,0.605727
102900005116899,净藕(1),水生根茎类,102900011032787,竹叶菜(份),花叶类,77,0.608450,0.604672,0.608450,0.003778,True,0.604672
102900011000328,螺丝椒,辣椒类,106971533450003,海鲜菇(包),食用菌,108,0.603780,0.618893,0.618893,0.015113,True,0.603780
102900011030059,云南生菜(份),花叶类,102900011030134,菜心(份),花叶类,228,0.593968,0.636490,0.636490,0.042522,True,0.593968
102900011022849,本地黄心油菜,花叶类,102900011033906,保康高山大白菜,花叶类,86,0.652674,0.588698,0.652674,0.063976,True,0.588698
102900005115250,西峡花菇(1),食用菌,102900005125808,小米椒,辣椒类,65,0.859163,0.588593,0.859163,0.270570,True,0.588593
102900011009277,荸荠,水生根茎类,102900011030059,云南生菜(份),花叶类,82,0.673793,0.580730,0.673793,0.093063,True,0.580730
102900011030134,菜心(份),花叶类,102900011030141,上海青(份),花叶类,247,0.722674,0.576723,0.722674,0.145952,True,0.576723
102900011030110,菠菜(份),花叶类,102900011030134,菜心(份),花叶类,216,0.609890,0.571294,0.609890,0.038596,True,0.571294
102900011032244,红尖椒(份),辣椒类,102900011032787,竹叶菜(份),花叶类,60,0.577427,0.568795,0.577427,0.008632,True,0.568795
102900005115823,上海青,花叶类,102900005115984,云南油麦菜,花叶类,765,0.562812,0.598771,0.598771,0.035959,True,0.562812
102900011030097,云南油麦菜(份),花叶类,102900011030134,菜心(份),花叶类,235,0.562250,0.624796,0.624796,0.062546,True,0.562250
102900005122654,枝江红菜苔,花叶类,102900011034330,双孢菇(盒),食用菌,84,0.676607,0.561345,0.676607,0.115262,True,0.561345
102900011000571,随州泡泡青,花叶类,102900011016701,芜湖青椒(1),辣椒类,112,0.609344,0.556725,0.609344,0.052619,True,0.556725
102900005115793,小白菜,花叶类,102900005115823,上海青,花叶类,457,0.555228,0.582548,0.582548,0.027320,True,0.555228
102900005116509,青茄子(1),茄类,102900005119975,红薯尖,花叶类,470,0.554017,0.638163,0.638163,0.084146,True,0.554017
