品类组合,方向,稳健相关对数,共同销售日数中位数,Pearson中位数,Spearman中位数,共同最弱相关绝对值中位数
花叶类 × 花叶类,正相关,54,214.000000,0.520305,0.552786,0.492299
花叶类 × 辣椒类,正相关,38,193.500000,0.500710,0.455128,0.443025
花叶类 × 食用菌,正相关,34,113.500000,0.500096,0.488706,0.471303
辣椒类 × 食用菌,正相关,24,142.500000,0.536003,0.462488,0.454157
食用菌 × 食用菌,正相关,22,164.500000,0.520283,0.476514,0.464335
花叶类 × 茄类,正相关,18,245.000000,0.470032,0.484154,0.462262
水生根茎类 × 食用菌,正相关,15,172.000000,0.531230,0.456143,0.456143
水生根茎类 × 花叶类,正相关,14,121.000000,0.445494,0.474495,0.441226
辣椒类 × 辣椒类,正相关,13,524.000000,0.598702,0.448301,0.433834
水生根茎类 × 辣椒类,正相关,9,97.000000,0.490527,0.447957,0.447092
茄类 × 食用菌,正相关,5,119.000000,0.595038,0.590319,0.519675
茄类 × 辣椒类,正相关,5,584.000000,0.468989,0.482574,0.450044
水生根茎类 × 花菜类,正相关,4,191.000000,0.465972,0.517762,0.465972
花叶类 × 花菜类,正相关,3,198.000000,0.518999,0.572797,0.518999
花菜类 × 食用菌,正相关,3,292.000000,0.560238,0.455195,0.455195
水生根茎类 × 水生根茎类,正相关,3,147.000000,0.421831,0.476236,0.416731
茄类 × 茄类,正相关,2,194.500000,0.494633,0.464065,0.458041
花叶类 × 花叶类,负相关,1,248.000000,-0.449919,-0.598781,0.449919
花菜类 × 花菜类,正相关,1,330.000000,0.448016,0.498856,0.448016
花叶类 × 食用菌,负相关,1,118.000000,-0.401172,-0.521704,0.401172

