品类A,品类B,日Pearson,日Spearman,周Pearson,周Spearman,最大绝对相关
辣椒类,食用菌,0.687485,0.534785,0.615625,0.504053,0.687485
花叶类,花菜类,0.627670,0.633454,0.685320,0.668238,0.685320
水生根茎类,食用菌,0.670189,0.605351,0.629806,0.657949,0.670189
花叶类,辣椒类,0.659790,0.595045,0.635992,0.546406,0.659790
花叶类,食用菌,0.631075,0.596225,0.559704,0.597421,0.631075
水生根茎类,辣椒类,0.614364,0.333866,0.529394,0.300086,0.614364
花叶类,水生根茎类,0.561287,0.438872,0.505299,0.448505,0.561287
花菜类,辣椒类,0.551288,0.429715,0.487996,0.349717,0.551288
花菜类,水生根茎类,0.542507,0.396032,0.486650,0.400061,0.542507
花菜类,食用菌,0.523076,0.462420,0.452739,0.456220,0.523076
水生根茎类,茄类,0.074423,-0.209966,-0.234639,-0.400480,0.400480
茄类,食用菌,0.119808,-0.114517,-0.191508,-0.315270,0.315270
花菜类,茄类,0.311873,0.193013,0.143997,0.087573,0.311873
茄类,辣椒类,0.273673,0.104237,0.011058,-0.044681,0.273673
花叶类,茄类,0.257879,0.252731,0.072969,0.102464,0.257879

