单品编码,单品名称,分类编码,分类名称,总销量_kg,总销售额_元,有销售日数,有销量日均销量_kg,日销量中位数_kg,日销量标准差_kg,最大日销量_kg,CV_有销量日,首次销售日期,最后销售日期,活跃跨度_日历日,活跃跨度_有销售记录日,销售天数占活跃跨度比例,销量排名,累计销量占比
102900011016701,芜湖青椒(1),1011010504,辣椒类,28181.741000,205219.938500,858,32.845852,28.000000,23.135408,249.974000,0.704363,2020-09-12,2023-06-30,1022,1012,0.839530,1,0.059799
102900005116714,西兰花,1011010201,花菜类,27555.945000,270060.555600,1076,25.609614,21.966000,15.778656,152.132000,0.616122,2020-07-01,2023-06-30,1095,1085,0.982648,2,0.118270
102900005116899,净藕(1),1011010402,水生根茎类,27166.459000,211769.939700,1057,25.701475,22.666000,20.222425,157.132000,0.786820,2020-07-08,2023-06-30,1088,1078,0.971507,3,0.175914
102900005115960,大白菜,1011010101,花叶类,19196.094000,38780.565700,480,39.991863,24.153000,38.930821,244.400000,0.973469,2020-07-01,2023-03-28,1001,991,0.479520,4,0.216646
102900005115779,云南生菜,1011010101,花叶类,15915.422000,129797.067500,810,19.648669,17.064000,13.008794,76.379000,0.662070,2020-07-01,2023-06-29,1094,1084,0.740402,5,0.250417
106949711300259,金针菇(盒),1011010801,食用菌,15602.000000,58669.500000,429,36.368298,27.000000,33.118232,281.000000,0.910635,2022-01-16,2023-06-30,531,523,0.807910,6,0.283523
102900011030059,云南生菜(份),1011010101,花叶类,14335.000000,64041.500000,400,35.837500,34.000000,23.811311,151.000000,0.664424,2021-12-17,2023-06-30,561,553,0.713012,7,0.313941
102900005116257,紫茄子(2),1011010501,茄类,13608.976000,117797.529700,1022,13.316023,11.497000,9.068158,109.430000,0.680996,2020-07-01,2023-06-30,1095,1085,0.933333,8,0.342818
102900005116530,西峡香菇(1),1011010801,食用菌,11929.100000,211356.719800,821,14.529963,11.326000,11.234168,79.166000,0.773172,2020-07-01,2023-03-14,987,977,0.831814,9,0.368130
102900011031100,小米椒(份),1011010504,辣椒类,10847.000000,55062.000000,488,22.227459,20.000000,14.980189,210.000000,0.673950,2021-12-20,2023-06-30,558,550,0.874552,10,0.391146
102900005115984,云南油麦菜,1011010101,花叶类,10309.079000,70692.251100,782,13.182965,10.364500,10.937468,76.615000,0.829667,2020-07-01,2023-06-27,1092,1082,0.716117,11,0.413021
102900005117056,泡泡椒(精品),1011010504,辣椒类,9707.027000,95610.684900,228,42.574680,37.543000,20.036803,144.050000,0.470627,2020-07-01,2022-02-14,594,591,0.383838,12,0.433618
102900005118831,娃娃菜,1011010101,花叶类,9002.000000,45162.400000,688,13.084302,9.000000,19.230280,407.000000,1.469721,2020-07-01,2023-06-30,1095,1085,0.628311,13,0.452720
102900011030097,云南油麦菜(份),1011010101,花叶类,8856.000000,35725.200000,410,21.600000,17.500000,16.799581,166.000000,0.777758,2021-12-16,2023-06-30,562,554,0.729537,14,0.471511
102900011009970,青梗散花,1011010201,花菜类,8394.375000,58277.915800,444,18.906250,16.756000,11.951831,88.508000,0.632163,2020-07-01,2023-06-16,1081,1071,0.410731,15,0.489323
102900011032251,螺丝椒(份),1011010504,辣椒类,8240.000000,40750.400000,382,21.570681,19.500000,15.737311,79.000000,0.729570,2022-02-18,2023-06-30,498,491,0.767068,16,0.506808
102900051010455,黄白菜(2),1011010101,花叶类,7993.683000,53517.308200,904,8.842570,5.955500,10.473609,187.729000,1.184453,2020-07-01,2023-06-18,1083,1073,0.834718,17,0.523769
102900011000328,螺丝椒,1011010504,辣椒类,7794.899000,82031.932100,858,9.084964,7.041000,7.388248,64.215000,0.813239,2020-07-02,2023-06-30,1094,1084,0.784278,18,0.540309
102900005115823,上海青,1011010101,花叶类,7608.386000,56900.932800,919,8.278984,6.043000,6.890385,43.597000,0.832274,2020-07-01,2023-06-30,1095,1085,0.839269,19,0.556454
102900005115786,竹叶菜,1011010101,花叶类,7246.958000,38957.087600,667,10.865004,9.552000,8.401448,61.519000,0.773258,2020-07-01,2023-06-30,1095,1085,0.609132,20,0.571831

