单品编码,单品名称,分类编码,分类名称,first_sale_date,last_sale_date,sales_days,active_span_calendar_days,active_span_observed_sales_days,sales_days_share_of_active_span
102900005116714,西兰花,1011010201,花菜类,2020-07-01,2023-06-30,1076,1095,1085,0.982648401826484
102900005116899,净藕(1),1011010402,水生根茎类,2020-07-08,2023-06-30,1057,1088,1078,0.9715073529411765
102900005116257,紫茄子(2),1011010501,茄类,2020-07-01,2023-06-30,1022,1095,1085,0.9333333333333333
102900005115823,上海青,1011010101,花叶类,2020-07-01,2023-06-30,919,1095,1085,0.8392694063926941
102900051010455,黄白菜(2),1011010101,花叶类,2020-07-01,2023-06-18,904,1083,1073,0.8347183748845799
102900011000328,螺丝椒,1011010504,辣椒类,2020-07-02,2023-06-30,858,1094,1084,0.7842778793418648
102900011016701,芜湖青椒(1),1011010504,辣椒类,2020-09-12,2023-06-30,858,1022,1012,0.8395303326810176
102900005116509,青茄子(1),1011010501,茄类,2020-07-01,2023-06-29,845,1094,1084,0.7723948811700183
102900005116530,西峡香菇(1),1011010801,食用菌,2020-07-01,2023-03-14,821,987,977,0.8318135764944276
102900005115779,云南生菜,1011010101,花叶类,2020-07-01,2023-06-29,810,1094,1084,0.7404021937842779
102900005115984,云南油麦菜,1011010101,花叶类,2020-07-01,2023-06-27,782,1092,1082,0.7161172161172161
102900011008164,奶白菜,1011010101,花叶类,2020-08-24,2023-06-30,762,1041,1031,0.7319884726224783
102900005116233,红椒(1),1011010504,辣椒类,2020-07-01,2023-03-16,755,989,979,0.7633973710819009
102900051004294,青线椒,1011010504,辣椒类,2020-07-01,2023-01-26,747,940,930,0.7946808510638298
102900005118817,菠菜,1011010101,花叶类,2020-07-01,2023-06-26,730,1091,1081,0.6691109074243813
102900005115908,菜心,1011010101,花叶类,2020-07-01,2023-06-28,711,1093,1083,0.6505032021957914
102900011013274,白玉菇(袋),1011010801,食用菌,2020-08-07,2023-06-30,698,1058,1048,0.6597353497164461
102900005118831,娃娃菜,1011010101,花叶类,2020-07-01,2023-06-30,688,1095,1085,0.628310502283105
