日期,正常销售量,退货量,净销量
2020-07-01,404.782,-0.436,404.346
2020-07-02,393.678,0.0,393.678
2020-07-03,386.018,-1.0,385.018
2020-07-04,483.299,0.0,483.299
2020-07-05,516.917,0.0,516.917
2020-07-06,371.537,0.0,371.537
2020-07-07,350.803,-3.0,347.803
2020-07-08,364.126,-6.0,358.126
2020-07-09,353.294,0.0,353.294
2020-07-10,389.427,0.0,389.427
2020-07-11,563.063,-0.777,562.286
2020-07-12,595.923,-0.291,595.632
2020-07-13,382.197,0.0,382.197
2020-07-14,403.509,0.0,403.509
2020-07-15,420.014,-0.652,419.362
2020-07-16,419.257,-3.426,415.831
2020-07-17,406.779,-6.0,400.779
2020-07-18,560.291,-1.192,559.099
2020-07-19,664.509,-2.939,661.57
2020-07-20,415.89,0.0,415.89
2020-07-21,406.731,0.0,406.731
2020-07-22,493.909,-0.74,493.169
2020-07-23,428.823,-0.457,428.366
2020-07-24,369.258,-1.7469999999999999,367.51099999999997
2020-07-25,518.075,0.0,518.075
2020-07-26,570.809,0.0,570.809
2020-07-27,418.45,0.0,418.45
2020-07-28,368.408,0.0,368.408
2020-07-29,432.132,0.0,432.132
2020-07-30,415.89,-0.576,415.31399999999996
2020-07-31,374.56,0.0,374.56
2020-08-01,474.442,0.0,474.442
2020-08-02,522.328,0.0,522.328
2020-08-03,448.064,0.0,448.064
2020-08-04,400.011,0.0,400.011
2020-08-05,504.019,0.0,504.019
2020-08-06,448.973,0.0,448.973
2020-08-07,469.215,0.0,469.215
2020-08-08,652.978,0.0,652.978
2020-08-09,529.958,0.0,529.958
2020-08-10,454.338,-0.17,454.168
2020-08-11,440.331,0.0,440.331
2020-08-12,439.66700000000003,0.0,439.66700000000003
2020-08-13,383.527,0.0,383.527
2020-08-14,474.441,0.0,474.441
2020-08-15,545.737,0.0,545.737
2020-08-16,524.909,0.0,524.909
2020-08-17,438.683,0.0,438.683
2020-08-18,459.441,0.0,459.441
2020-08-19,457.576,0.0,457.576
2020-08-20,494.406,0.0,494.406
2020-08-21,456.628,0.0,456.628
2020-08-22,568.857,0.0,568.857
2020-08-23,575.421,0.0,575.421
2020-08-24,486.312,0.0,486.312
2020-08-25,596.223,0.0,596.223
2020-08-26,499.033,0.0,499.033
2020-08-27,470.507,0.0,470.507
2020-08-28,492.325,0.0,492.325
2020-08-29,628.381,0.0,628.381
2020-08-30,627.818,0.0,627.818
2020-08-31,511.237,0.0,511.237
2020-09-01,471.286,-1.028,470.258
2020-09-02,385.329,0.0,385.329
2020-09-03,397.806,0.0,397.806
2020-09-04,405.805,0.0,405.805
2020-09-05,556.705,0.0,556.705
2020-09-06,614.645,-0.318,614.327
2020-09-07,329.046,0.0,329.046
2020-09-08,313.966,0.0,313.966
2020-09-09,261.669,0.0,261.669
2020-09-10,293.75600000000003,0.0,293.75600000000003
2020-09-11,317.565,0.0,317.565
2020-09-12,461.272,-0.359,460.913
2020-09-13,511.082,0.0,511.082
2020-09-14,353.293,0.0,353.293
