审计标记,销售日期,扫码销售时间,单品编码,销量(千克),销售单价(元/千克),销售类型,是否打折销售
退货记录,2020-07-01,12:46:28.030,102900005116714,-0.436,14.0,退货,否
退货记录,2020-07-03,21:10:46.405,102900005118831,-1.0,6.9,退货,否
退货记录,2020-07-07,17:45:51.373,102900005118831,-1.0,6.5,退货,否
退货记录,2020-07-07,18:33:03.608,102900005118831,-1.0,6.9,退货,否
退货记录,2020-07-07,20:11:11.701,102900005118831,-1.0,6.9,退货,否
退货记录,2020-07-08,10:03:17.264,102900005118831,-2.0,6.9,退货,否
退货记录,2020-07-08,10:05:57.420,102900005118831,-1.0,6.9,退货,否
退货记录,2020-07-08,10:11:26.436,102900005118831,-1.0,6.9,退货,否
退货记录,2020-07-08,12:42:50.326,102900005118831,-1.0,6.9,退货,否
退货记录,2020-07-08,13:17:06.170,102900005118831,-1.0,6.9,退货,否
退货记录,2020-07-11,21:06:53.843,102900011008522,-0.777,8.0,退货,否
退货记录,2020-07-12,21:04:33.967,102900005117056,-0.291,10.0,退货,否
退货记录,2020-07-15,21:25:56.326,102900005115984,-0.652,6.0,退货,否
退货记录,2020-07-16,13:31:25.592,102900005118831,-1.0,6.9,退货,否
退货记录,2020-07-16,13:32:12.530,102900005116547,-0.426,8.0,退货,否
退货记录,2020-07-16,16:12:55.483,102900005118831,-1.0,5.7,退货,否
退货记录,2020-07-16,18:02:45.264,102900005118831,-1.0,5.5,退货,否
退货记录,2020-07-17,15:32:33.545,102900005118831,-2.0,6.1,退货,否
退货记录,2020-07-17,15:41:47.405,102900005118831,-1.0,5.2,退货,否
退货记录,2020-07-17,16:00:09.764,102900005118831,-1.0,5.0,退货,否
数量高于3IQR上界,2020-07-05,09:36:30.936,102900005116509,2.161,4.0,销售,否
数量高于3IQR上界,2020-07-12,12:58:00.092,102900005116257,2.118,8.0,销售,否
数量高于3IQR上界,2020-07-22,11:34:42.280,102900011009444,2.144,10.0,销售,否
数量高于3IQR上界,2020-07-23,11:41:08.061,102900005115960,2.412,4.0,销售,否
数量高于3IQR上界,2020-07-24,09:59:48.076,102900005116257,2.983,8.0,销售,否
数量高于3IQR上界,2020-07-27,10:20:56.983,102900011009444,4.274,7.6,销售,否
数量高于3IQR上界,2020-07-28,10:27:29.483,102900011009444,3.07,8.0,销售,否
数量高于3IQR上界,2020-07-28,10:27:41.076,102900011009444,2.582,8.0,销售,否
数量高于3IQR上界,2020-07-29,10:19:01.953,102900011009444,2.757,8.0,销售,否
数量高于3IQR上界,2020-07-30,09:52:12.920,102900005115960,2.123,3.6,销售,否
数量高于3IQR上界,2020-07-31,09:50:52.498,102900011009444,2.444,8.0,销售,否
数量高于3IQR上界,2020-07-31,17:58:35.389,102900005116509,2.107,6.0,销售,否
数量高于3IQR上界,2020-08-07,18:32:53.284,102900005116257,2.412,4.0,销售,否
数量高于3IQR上界,2020-08-14,19:35:11.506,102900011001561,3.0,2.9,销售,否
数量高于3IQR上界,2020-08-15,18:34:50.655,102900011008522,2.306,8.0,销售,否
数量高于3IQR上界,2020-08-18,09:42:58.621,102900005116899,3.269,8.8,销售,否
数量高于3IQR上界,2020-08-21,10:56:53.063,102900011001561,5.0,1.9,销售,否
数量高于3IQR上界,2020-08-21,12:08:55.217,102900011008522,2.143,8.0,销售,否
数量高于3IQR上界,2020-08-21,19:59:51.076,102900011008522,2.168,8.0,销售,否
数量高于3IQR上界,2020-08-22,13:10:42.019,102900011001561,5.0,1.9,销售,否
价格高于3IQR上界,2020-07-01,09:46:33.204,102900051000944,0.545,39.8,销售,否
价格高于3IQR上界,2020-07-01,17:21:15.217,102900051000944,0.186,39.8,销售,否
价格高于3IQR上界,2020-07-02,19:52:24.788,102900051000944,0.258,37.6,销售,否
价格高于3IQR上界,2020-07-04,09:53:22.420,102900051000944,0.391,37.6,销售,否
价格高于3IQR上界,2020-07-04,10:04:00.185,102900051000944,0.223,37.6,销售,否
价格高于3IQR上界,2020-07-04,10:54:48.514,102900051000944,0.327,37.6,销售,否
价格高于3IQR上界,2020-07-04,11:05:47.437,102900051000944,0.255,37.6,销售,否
价格高于3IQR上界,2020-07-04,11:18:24.575,102900051000944,0.484,37.6,销售,否
价格高于3IQR上界,2020-07-04,11:40:01.444,102900051000944,0.261,37.6,销售,否
价格高于3IQR上界,2020-07-04,12:10:10.889,102900051000944,0.391,37.6,销售,否
价格高于3IQR上界,2020-07-12,09:22:17.095,102900051000944,0.279,29.8,销售,否
价格高于3IQR上界,2020-07-12,09:57:32.233,102900051000944,0.312,29.8,销售,否
价格高于3IQR上界,2020-07-12,10:00:59.921,102900051000944,0.312,29.8,销售,否
价格高于3IQR上界,2020-07-12,10:31:34.436,102900051000944,0.309,29.8,销售,否
价格高于3IQR上界,2020-07-12,11:53:16.222,102900051000944,0.49,29.8,销售,否
价格高于3IQR上界,2020-07-12,13:30:59.764,102900051000944,0.346,29.8,销售,否
价格高于3IQR上界,2020-07-12,15:10:05.639,102900051000944,0.413,29.8,销售,否
价格高于3IQR上界,2020-07-22,11:41:17.697,102900051000944,0.671,29.8,销售,否
价格高于3IQR上界,2020-07-22,12:16:03.224,102900051000944,0.171,29.8,销售,否
价格高于3IQR上界,2020-07-22,15:44:35.436,102900051000944,0.292,29.8,销售,否

