单品编码,单品名称,分类编码,分类名称,销售天数,总销量,总销售额,有销量日均销量(千克),单日最大销量,日销量标准差,日销量变异系数
102900005116899,净藕(1),1011010402,水生根茎类,1057,27166.459,211769.9397,25.701474929044466,157.132,20.222424704087455,0.7868196187151384
102900011021842,洪湖莲藕(粉藕),1011010402,水生根茎类,393,6059.0,64410.00000000001,15.417302798982188,131.0,16.49130586815855,1.0696621895009588
102900011001561,莲蓬(个),1011010402,水生根茎类,86,2095.0,4523.0,24.36046511627907,80.0,18.6022849897518,0.763626018672389
102900011009277,荸荠,1011010402,水生根茎类,213,1672.013,10674.9274,7.849826291079812,63.326,8.086891254560003,1.0302000266871614
102900005118824,高瓜(1),1011010402,水生根茎类,544,1179.956,16266.7647,2.1690367647058824,10.501,1.6252094350174715,0.7492770346093451
102900051000944,洪湖藕带,1011010402,水生根茎类,258,745.554,21463.0442,2.8897441860465114,11.218,2.2068624179975416,0.7636878131474927
102900011032732,高瓜(2),1011010402,水生根茎类,159,449.856,8969.1363,2.8292830188679243,11.046,2.4006366458648642,0.8484964670750494
102900011010891,野藕(1),1011010402,水生根茎类,164,449.754,4668.0384,2.7424024390243904,10.203,1.9618984192871392,0.7153940615605215
102900011035511,净藕(3),1011010402,水生根茎类,70,348.8,2552.8646,4.982857142857143,13.852,3.0768649830994543,0.6174901055532162
102900011001691,菱角,1011010402,水生根茎类,105,126.422,1762.1858,1.2040190476190475,4.837,0.9621660157900985,0.7991285666890284
102900011007969,红莲藕带,1011010402,水生根茎类,96,100.69,1075.5408,1.0488541666666666,4.739,0.8777923502102984,0.8369060047689806
102900011023976,净藕(2),1011010402,水生根茎类,8,62.221,371.0292,7.777625,25.154,7.7695233341103815,0.9989583367815216
102900011018132,野生粉藕,1011010402,水生根茎类,23,50.815,734.5600000000001,2.2093478260869563,6.210999999999999,1.7770369262213295,0.8043264646874069
102900011034569,洪湖莲藕(脆藕),1011010402,水生根茎类,12,40.0,395.20000000000005,3.3333333333333335,12.0,3.0251471289038414,0.9075441386711524
102900011024010,鲜藕带(袋),1011010402,水生根茎类,7,21.0,388.2,3.0,7.0,2.0,0.6666666666666666
102900051006229,藕尖,1011010402,水生根茎类,3,18.614,74.456,6.204666666666667,10.432,5.250040888729662,0.8461439059948954
102900011035962,野藕(2),1011010402,水生根茎类,6,11.398,148.174,1.8996666666666666,4.561,1.46199229364134,0.7696046465913354
102900011032114,荸荠(份),1011010402,水生根茎类,6,10.0,59.0,1.6666666666666667,3.0,0.816496580927726,0.4898979485566356
102900005115960,大白菜,1011010101,花叶类,480,19196.094,38780.5657,39.9918625,244.4,38.93082142960204,0.9734685757534308
102900005115779,云南生菜,1011010101,花叶类,810,15915.422,129797.0675,19.64866913580247,76.379,13.008793987921528,0.6620699803132105
102900011030059,云南生菜(份),1011010101,花叶类,400,14335.0,64041.5,35.8375,151.0,23.81131117977862,0.6644244486858353
102900005115984,云南油麦菜,1011010101,花叶类,782,10309.079,70692.2511,13.18296547314578,76.615,10.937467991221085,0.8296667402718408
102900005118831,娃娃菜,1011010101,花叶类,688,9002.0,45162.4,13.084302325581396,407.0,19.230279619476548,1.469721437258372
102900011030097,云南油麦菜(份),1011010101,花叶类,410,8856.0,35725.2,21.6,166.0,16.79958085400989,0.7777583728708282
