日期,单品编码,单品名称,分类编码,分类名称,销量,销售额,交易笔数,打折笔数,打折销量,平均零售单价(元/千克)
2020-07-01,102900005115762,苋菜,1011010101,花叶类,6.841,41.046,11,0,0.0,6.0
2020-07-01,102900005115779,云南生菜,1011010101,花叶类,41.966,335.728,114,0,0.0,8.0
2020-07-01,102900005115786,竹叶菜,1011010101,花叶类,11.352,68.11200000000001,24,0,0.0,6.000000000000001
2020-07-01,102900005115793,小白菜,1011010101,花叶类,4.288,68.608,11,0,0.0,16.0
2020-07-01,102900005115823,上海青,1011010101,花叶类,11.475999999999999,114.76,28,0,0.0,10.000000000000002
2020-07-01,102900005115908,菜心,1011010101,花叶类,8.959,71.672,20,0,0.0,8.0
2020-07-01,102900005115946,木耳菜,1011010101,花叶类,3.039,21.273,9,0,0.0,7.0
2020-07-01,102900005115960,大白菜,1011010101,花叶类,14.748,47.1936,16,0,0.0,3.2
2020-07-01,102900005115984,云南油麦菜,1011010101,花叶类,32.579,195.47400000000002,71,0,0.0,6.0
2020-07-01,102900005116226,青尖椒,1011010504,辣椒类,2.844,22.752,9,0,0.0,8.0
2020-07-01,102900005116233,红椒(1),1011010504,辣椒类,2.512,25.12,17,0,0.0,10.0
2020-07-01,102900005116257,紫茄子(2),1011010501,茄类,17.661,105.966,32,0,0.0,5.999999999999999
2020-07-01,102900005116509,青茄子(1),1011010501,茄类,17.713,70.852,28,0,0.0,4.0
2020-07-01,102900005116530,西峡香菇(1),1011010801,食用菌,7.693,138.084,40,1,0.195,17.94930456258937
2020-07-01,102900005116547,金针菇(1),1011010801,食用菌,13.863,83.178,34,0,0.0,6.0
2020-07-01,102900005116714,西兰花,1011010201,花菜类,34.99,489.86,78,0,0.0,14.0
2020-07-01,102900005116790,黄心菜(1),1011010101,花叶类,4.837,38.696,7,0,0.0,8.0
2020-07-01,102900005116912,姬菇(1),1011010801,食用菌,1.138,15.932000000000002,6,0,0.0,14.000000000000004
2020-07-01,102900005116943,红杭椒,1011010504,辣椒类,2.129,38.322,11,0,0.0,18.0
2020-07-01,102900005117056,泡泡椒(精品),1011010504,辣椒类,54.548,414.5648,137,0,0.0,7.6
2020-07-01,102900005117209,七彩椒(1),1011010504,辣椒类,1.909,30.544,5,0,0.0,16.0
2020-07-01,102900005118817,菠菜,1011010101,花叶类,5.4719999999999995,76.608,14,0,0.0,14.000000000000002
2020-07-01,102900005118824,高瓜(1),1011010402,水生根茎类,4.119,41.19,13,0,0.0,10.0
2020-07-01,102900005118831,娃娃菜,1011010101,花叶类,10.0,68.5,10,1,1.0,6.85
2020-07-01,102900005119944,海鲜菇(1),1011010801,食用菌,0.783,12.528,3,0,0.0,16.0
2020-07-01,102900005119975,红薯尖,1011010101,花叶类,22.402,109.042,58,31,12.685,4.867511829300955
2020-07-01,102900005123880,灯笼椒(1),1011010504,辣椒类,0.927,11.124,3,0,0.0,12.0
2020-07-01,102900005125808,小米椒,1011010504,辣椒类,4.383,113.0814,45,0,0.0,25.8
2020-07-01,102900005125815,杏鲍菇(1),1011010801,食用菌,11.888,118.88,37,0,0.0,10.0
2020-07-01,102900011001219,红灯笼椒(1),1011010504,辣椒类,1.953,27.342,7,0,0.0,13.999999999999998
2020-07-01,102900011006948,外地茼蒿,1011010101,花叶类,2.623,41.968,9,0,0.0,16.0
2020-07-01,102900011008522,甜白菜,1011010101,花叶类,18.271,146.168,32,0,0.0,8.0
2020-07-01,102900011009970,青梗散花,1011010201,花菜类,12.086,108.774,24,0,0.0,9.0
2020-07-01,102900051000944,洪湖藕带,1011010402,水生根茎类,0.7310000000000001,29.093799999999998,2,0,0.0,39.79999999999999
2020-07-01,102900051004294,青线椒,1011010504,辣椒类,5.51,77.14,25,0,0.0,14.0
2020-07-01,102900051010455,黄白菜(2),1011010101,花叶类,6.5489999999999995,58.940999999999995,11,0,0.0,9.0
2020-07-02,102900005115762,苋菜,1011010101,花叶类,8.112,48.672,14,0,0.0,6.0
2020-07-02,102900005115779,云南生菜,1011010101,花叶类,44.873,356.8496,111,1,0.464,7.952434648898001
2020-07-02,102900005115786,竹叶菜,1011010101,花叶类,11.556000000000001,69.336,24,0,0.0,5.999999999999999
2020-07-02,102900005115793,小白菜,1011010101,花叶类,4.55,72.8,9,0,0.0,16.0
2020-07-02,102900005115823,上海青,1011010101,花叶类,6.806,68.06,17,0,0.0,10.0
2020-07-02,102900005115908,菜心,1011010101,花叶类,14.275,114.2,35,0,0.0,8.0
2020-07-02,102900005115946,木耳菜,1011010101,花叶类,3.124,21.868000000000002,7,0,0.0,7.0
2020-07-02,102900005115960,大白菜,1011010101,花叶类,11.228,34.5921,13,1,0.535,3.0808781617385113
2020-07-02,102900005115984,云南油麦菜,1011010101,花叶类,27.056,162.336,64,0,0.0,6.0
2020-07-02,102900005116226,青尖椒,1011010504,辣椒类,1.6669999999999998,13.335999999999999,7,0,0.0,8.0
2020-07-02,102900005116233,红椒(1),1011010504,辣椒类,3.2969999999999997,32.97,14,0,0.0,10.0
2020-07-02,102900005116257,紫茄子(2),1011010501,茄类,14.432,101.024,26,0,0.0,7.0
2020-07-02,102900005116509,青茄子(1),1011010501,茄类,17.767,71.068,30,0,0.0,4.0
2020-07-02,102900005116530,西峡香菇(1),1011010801,食用菌,17.345,343.431,69,0,0.0,19.8
2020-07-02,102900005116547,金针菇(1),1011010801,食用菌,17.208000000000002,103.248,43,0,0.0,6.0
2020-07-02,102900005116714,西兰花,1011010201,花菜类,30.109,421.526,65,0,0.0,14.0
2020-07-02,102900005116790,黄心菜(1),1011010101,花叶类,10.625,85.0,17,0,0.0,8.0
2020-07-02,102900005116912,姬菇(1),1011010801,食用菌,1.539,21.546,9,0,0.0,14.0
2020-07-02,102900005116943,红杭椒,1011010504,辣椒类,1.679,26.864,10,0,0.0,16.0
2020-07-02,102900005117056,泡泡椒(精品),1011010504,辣椒类,39.81,302.556,98,0,0.0,7.599999999999999
2020-07-02,102900005117209,七彩椒(1),1011010504,辣椒类,1.825,25.55,5,0,0.0,14.0
2020-07-02,102900005118824,高瓜(1),1011010402,水生根茎类,4.342,43.42,13,0,0.0,10.000000000000002
2020-07-02,102900005118831,娃娃菜,1011010101,花叶类,13.0,86.1,12,6,7.0,6.623076923076923
2020-07-02,102900005119944,海鲜菇(1),1011010801,食用菌,2.254,36.064,7,0,0.0,16.0
2020-07-02,102900005119975,红薯尖,1011010101,花叶类,22.549,113.83800000000001,57,25,10.728,5.048472216062797
2020-07-02,102900005123880,灯笼椒(1),1011010504,辣椒类,1.679,20.148,5,0,0.0,12.0
2020-07-02,102900005125808,小米椒,1011010504,辣椒类,4.148,107.0184,44,0,0.0,25.8
2020-07-02,102900005125815,杏鲍菇(1),1011010801,食用菌,10.164,101.64,32,0,0.0,10.0
2020-07-02,102900011000328,螺丝椒,1011010504,辣椒类,5.844,58.44,23,0,0.0,9.999999999999998
2020-07-02,102900011001219,红灯笼椒(1),1011010504,辣椒类,1.3940000000000001,16.728,4,0,0.0,12.0
2020-07-02,102900011006689,东门口小白菜,1011010101,花叶类,1.392,13.919999999999998,6,0,0.0,10.0
2020-07-02,102900011006948,外地茼蒿,1011010101,花叶类,0.857,13.712,2,0,0.0,16.0
2020-07-02,102900011008522,甜白菜,1011010101,花叶类,13.548,108.384,25,0,0.0,8.0
2020-07-02,102900011009970,青梗散花,1011010201,花菜类,13.834,124.506,30,0,0.0,9.0
2020-07-02,102900051000944,洪湖藕带,1011010402,水生根茎类,0.258,9.700800000000001,1,0,0.0,37.6
2020-07-02,102900051004294,青线椒,1011010504,辣椒类,4.721,66.094,16,0,0.0,13.999999999999998
2020-07-02,102900051010455,黄白菜(2),1011010101,花叶类,4.811,39.997,10,1,0.635,8.313656204531283
2020-07-03,102900005115762,苋菜,1011010101,花叶类,7.694,46.164,12,0,0.0,6.0
