日期,花叶类,花菜类,水生根茎类,食用菌,辣椒类,茄类
2020-07-01,205.40200000000002,47.076,4.85,35.364999999999995,76.715,35.374
2020-07-02,198.362,43.943,4.6,48.510000000000005,66.06400000000001,32.199
2020-07-03,191.779,42.076,9.572000000000001,42.44199999999999,64.253,35.896
2020-07-04,236.587,55.662,5.439,47.262,81.28200000000001,57.067
2020-07-05,223.899,55.474000000000004,4.019,73.213,98.496,61.816
2020-07-06,195.74,42.721000000000004,3.089,40.578,58.682,30.727000000000004
2020-07-07,175.052,45.749,3.117,52.56,42.213,32.112
2020-07-08,158.57,45.43300000000001,10.605,43.968,65.88,39.67
2020-07-09,187.439,41.131,2.106,37.837,58.86,25.921
2020-07-10,179.833,62.343999999999994,9.025,41.429,58.936,37.86
2020-07-11,271.12,76.564,8.928,52.238,85.93599999999999,68.277
2020-07-12,300.189,71.615,13.994,55.96,72.459,81.706
2020-07-13,190.832,32.028,11.605,42.113,61.24,44.379
2020-07-14,190.59900000000002,57.575,9.007,44.836,66.745,34.747
2020-07-15,218.094,37.962,10.238000000000001,42.196,73.35400000000001,38.17
2020-07-16,215.526,39.45,11.354000000000001,53.685,72.656,26.586
2020-07-17,201.67000000000002,44.198,10.727,51.908,61.025000000000006,37.251000000000005
2020-07-18,275.265,61.087999999999994,10.418,71.884,85.051,56.585
2020-07-19,321.164,76.351,11.123999999999999,80.322,103.77600000000001,71.772
2020-07-20,204.99699999999999,47.431,9.548,52.617000000000004,67.35,33.947
2020-07-21,214.99,49.004999999999995,12.744,45.905,56.992999999999995,27.094
2020-07-22,232.78300000000002,53.675,11.049999999999999,66.794,81.36,48.247
2020-07-23,200.441,39.425,30.417,56.759,57.638999999999996,44.141999999999996
2020-07-24,176.325,38.284000000000006,11.739999999999998,49.201,58.738,34.97
2020-07-25,227.137,57.421,10.424,67.013,94.20600000000002,61.874
2020-07-26,250.825,64.119,12.988,71.295,102.061,69.521
2020-07-27,198.00900000000001,42.876000000000005,17.265,52.777,71.402,36.121
2020-07-28,165.443,34.937,13.959,47.728,66.001,40.34
2020-07-29,193.72899999999998,42.22,18.597,54.315,82.494,40.777
2020-07-30,201.743,38.198,10.645000000000001,50.774,68.219,46.311
2020-07-31,197.166,37.549,19.062,45.587,41.104,34.092
2020-08-01,229.89,54.361999999999995,21.432000000000002,53.797,66.15599999999999,48.80499999999999
2020-08-02,243.138,49.219,56.153999999999996,54.961,67.963,50.893
2020-08-03,207.843,44.426,15.555000000000001,48.575,86.474,45.191
2020-08-04,180.012,44.534000000000006,26.208,45.301,73.36500000000001,30.591
2020-08-05,244.39499999999998,43.631,21.451999999999998,62.84,82.229,49.472
2020-08-06,234.77700000000002,40.827,19.115,48.611000000000004,74.047,31.596
2020-08-07,204.941,40.272000000000006,25.415,68.177,78.61099999999999,51.799
2020-08-08,311.161,58.156000000000006,27.461,92.144,100.292,63.763999999999996
2020-08-09,250.58999999999997,54.876,25.900000000000002,73.07300000000001,73.684,51.834999999999994
2020-08-10,210.292,50.7,30.683,36.094,78.905,47.664
2020-08-11,216.71300000000002,56.278999999999996,20.458,40.016999999999996,73.292,33.572
2020-08-12,206.877,50.065,27.354999999999997,34.195,85.166,36.009
2020-08-13,188.208,47.468,19.324,35.65,61.767999999999994,31.109
2020-08-14,217.758,58.581999999999994,29.991,53.795,76.489,37.826
2020-08-15,245.136,79.38,25.642,58.015,94.285,43.278999999999996
2020-08-16,241.48000000000002,60.230999999999995,24.454,55.092999999999996,95.285,48.366
2020-08-17,215.63299999999998,51.749,15.916,47.418,72.953,35.013999999999996
2020-08-18,225.113,55.92,21.753,45.716,76.92,34.019000000000005
2020-08-19,214.173,64.061,17.95,50.126,80.919,30.347
2020-08-20,233.53199999999998,69.58699999999999,22.966,54.411,75.953,37.957
2020-08-21,207.076,50.062,34.598,50.0,85.19800000000001,29.694
2020-08-22,273.081,55.886,42.772,49.895,116.801,30.422
2020-08-23,261.552,71.556,46.056999999999995,55.226,93.71400000000001,47.316
2020-08-24,260.694,41.784,20.305,39.576,97.07900000000001,26.874000000000002
2020-08-25,343.427,47.760999999999996,20.062,54.488,107.213,23.272
2020-08-26,241.686,82.544,18.95,42.811,82.32,30.722
2020-08-27,199.007,92.506,19.487000000000002,50.458,89.92,19.129
2020-08-28,195.032,39.93,20.997,55.659,156.11,24.597
2020-08-29,267.031,56.803,65.814,62.431,145.627,30.675
2020-08-30,266.387,80.779,30.005000000000003,73.195,155.81099999999998,21.641
2020-08-31,224.882,54.722,52.949,44.775999999999996,117.96499999999999,15.943
2020-09-01,191.655,55.858000000000004,47.658,47.282,102.504,26.328999999999997
2020-09-02,179.819,38.715999999999994,17.941,51.011,83.96900000000001,13.873000000000001
2020-09-03,193.463,38.893,15.996,48.163,87.119,14.172
2020-09-04,176.316,46.612,16.634999999999998,54.43,91.579,20.233
2020-09-05,249.559,57.828,42.553999999999995,62.594,110.439,33.731
2020-09-06,276.111,53.202,46.963,78.472,126.5,33.397
2020-09-07,148.221,26.256999999999998,38.925999999999995,41.804,56.473000000000006,17.365000000000002
2020-09-08,158.329,33.239,19.127,32.388999999999996,50.259,20.623
2020-09-09,131.492,32.730000000000004,12.161000000000001,33.45,39.795,12.041
2020-09-10,119.91900000000001,57.319,14.491999999999999,35.789,49.321,16.916
2020-09-11,151.957,31.537999999999997,13.364,48.467,50.22,22.019000000000002
2020-09-12,231.88400000000001,43.337,16.957,73.173,74.51,21.411
2020-09-13,263.345,41.704,18.739,74.834,83.723,28.737
2020-09-14,175.844,64.257,17.360999999999997,31.147000000000002,48.550000000000004,16.134
2020-09-15,156.048,29.878,19.219,41.578,49.991,13.243
2020-09-16,176.949,59.448,18.817999999999998,35.413,46.894999999999996,15.193999999999999
2020-09-17,143.534,32.647999999999996,17.437,39.259,46.145,22.924
2020-09-18,154.388,27.705,11.389,38.541,48.075,13.805
2020-09-19,235.87400000000002,82.76,39.431,60.52,84.269,30.406
2020-09-20,317.998,53.497,39.551,50.42,99.148,41.474000000000004
2020-09-21,212.997,39.191,16.289,63.528999999999996,56.561,20.868000000000002
2020-09-22,232.243,40.905,37.808,49.058,77.009,25.819000000000003
2020-09-23,179.262,31.971999999999998,18.629,56.265,54.327,22.515
2020-09-24,162.861,38.952,51.886,61.336,50.486000000000004,18.9
2020-09-25,173.781,41.561,22.732,64.509,53.937999999999995,26.529
2020-09-26,227.77100000000002,86.643,65.744,94.495,68.09400000000001,33.516999999999996
2020-09-27,199.81300000000002,35.964,28.289,72.522,54.459,20.532
2020-09-28,114.933,24.576,11.860999999999999,46.913000000000004,37.410000000000004,18.401
2020-09-29,157.957,28.105,24.134999999999998,45.485,57.017,24.719
2020-09-30,177.12900000000002,60.771,36.839,110.358,53.628,25.865000000000002
2020-10-01,248.415,93.92800000000001,55.356,103.929,64.092,32.482
2020-10-02,244.124,67.14500000000001,21.930999999999997,89.316,69.054,38.762
2020-10-03,298.341,44.493,18.497,60.052,84.72800000000001,63.535
2020-10-04,232.776,34.491,19.254,122.501,75.21,43.849000000000004
2020-10-05,294.623,92.279,79.752,126.518,87.93299999999999,31.128
2020-10-06,287.297,108.157,25.784,124.059,81.727,42.318
2020-10-07,255.378,56.266000000000005,52.907,80.421,63.150999999999996,29.085
2020-10-08,252.73,49.58,31.951999999999998,328.488,72.023,33.49
2020-10-09,162.518,55.845,51.476000000000006,57.257999999999996,51.243,24.289
2020-10-10,175.163,37.393,22.07,75.63000000000001,52.510999999999996,26.814
2020-10-11,238.081,60.47,57.223000000000006,163.664,70.214,34.726
2020-10-12,170.21200000000002,34.815,38.333000000000006,102.38499999999999,48.979,17.875999999999998
2020-10-13,178.246,47.321,50.519,48.021,49.116,23.119
2020-10-14,182.96,48.259,46.207,73.831,46.36,13.742
2020-10-15,190.238,59.623999999999995,42.162,72.91,45.236,19.447
2020-10-16,170.77,88.36099999999999,58.973,69.80499999999999,44.67,20.139
2020-10-17,249.493,109.31099999999999,87.12,115.896,97.15499999999999,30.556
2020-10-18,226.73499999999999,91.597,79.338,113.125,88.24700000000001,36.361
2020-10-19,152.709,57.412,40.6,58.338,56.69,20.03
2020-10-20,186.078,30.899,49.434,45.419,49.296,13.777
2020-10-21,168.76500000000001,40.555,21.201,56.114000000000004,48.047,15.327
2020-10-22,117.235,26.166,35.917,94.688,50.037,14.725
2020-10-23,211.914,23.854,30.801000000000002,115.306,43.758,14.427
2020-10-24,282.107,31.113,67.932,115.39,77.097,22.221
2020-10-25,223.397,43.114,71.16,104.16,72.537,30.136
2020-10-26,157.832,22.371,20.666,62.363,45.43900000000001,10.797
2020-10-27,154.566,23.305,21.273,56.508,45.479,13.444
2020-10-28,167.542,30.296999999999997,32.418,75.211,49.395,12.238
2020-10-29,120.551,24.902,15.828,81.051,52.654,14.436
2020-10-30,148.243,28.939,18.769000000000002,74.23,46.452,12.192
2020-10-31,248.102,82.701,79.265,135.284,81.292,16.499000000000002
2020-11-01,206.956,69.062,71.332,127.967,73.72200000000001,15.407
2020-11-02,144.442,32.726,15.053,78.321,54.351,11.378
2020-11-03,135.067,52.370000000000005,15.727,65.34100000000001,66.83399999999999,10.846
2020-11-04,122.11399999999999,67.527,18.183,195.33999999999997,59.731,10.702
2020-11-05,146.327,57.354,8.347,129.089,45.282,9.067
2020-11-06,142.586,95.136,13.443,80.588,49.287,7.22
2020-11-07,224.29999999999998,121.453,71.413,122.896,69.738,10.878
2020-11-08,209.80800000000002,125.591,58.207,124.492,78.907,16.906
2020-11-09,144.911,57.592,14.579,63.22,64.616,10.062999999999999
2020-11-10,157.962,25.698,12.103,64.18,54.663,9.574
2020-11-11,150.867,63.25,17.155,64.52199999999999,65.834,15.585
2020-11-12,151.144,13.405999999999999,15.951,68.656,58.851,15.508000000000001
2020-11-13,141.977,60.306,13.766,67.676,70.24600000000001,8.044
2020-11-14,207.145,84.001,58.127,92.793,71.84,18.146
2020-11-15,227.231,77.798,45.353,73.108,74.078,18.317999999999998
2020-11-16,140.087,48.64,14.450000000000001,54.363,45.345,15.672
2020-11-17,222.517,43.621,24.762,131.979,43.486000000000004,12.224
2020-11-18,203.322,50.438,19.171,99.089,45.407,15.946
2020-11-19,207.79999999999998,77.165,22.976999999999997,90.297,59.111000000000004,12.808
2020-11-20,244.555,52.70099999999999,22.48,70.888,53.492,9.804
2020-11-21,460.646,114.066,95.789,169.382,79.774,25.451
2020-11-22,371.968,119.596,67.538,160.154,99.221,26.933
2020-11-23,294.311,74.623,34.987,195.788,59.056,15.902
2020-11-24,220.189,60.92700000000001,44.692,117.661,52.157,13.897
2020-11-25,237.713,37.137,38.697,95.581,39.054,13.199
2020-11-26,282.923,34.766000000000005,24.099,110.276,48.086,12.868
2020-11-27,225.596,28.934,23.178,112.979,53.11600000000001,13.175
2020-11-28,400.295,79.441,30.289,187.133,82.485,18.759
2020-11-29,287.707,77.33500000000001,31.494,168.218,66.151,20.701999999999998
2020-11-30,207.35299999999998,41.156000000000006,18.480999999999998,100.48599999999999,54.214,18.29
2020-12-01,287.79699999999997,25.82,25.029,99.477,47.882,9.271
2020-12-02,213.66500000000002,24.46,22.979,185.141,48.74,9.603
2020-12-03,274.09700000000004,27.342,35.348,97.39500000000001,48.794999999999995,12.913
2020-12-04,242.529,27.457,87.25,110.875,42.929,11.517
2020-12-05,306.959,72.116,43.518,155.115,50.32,18.692999999999998
2020-12-06,367.129,67.968,93.761,234.205,61.77,18.881
2020-12-07,197.718,29.017,60.127,91.333,39.565999999999995,10.537
2020-12-08,183.98,29.686,78.345,89.028,38.132,10.904
2020-12-09,180.673,20.825,39.897,80.164,36.059,9.89
2020-12-10,188.539,20.405,48.448,89.363,45.747,11.411
2020-12-11,212.51,30.644,55.726,94.15299999999999,44.514,14.918
2020-12-12,269.619,65.792,71.47,174.431,55.182,11.965
2020-12-13,375.781,78.67,73.578,197.615,76.78399999999999,20.845000000000002
2020-12-14,197.654,33.376000000000005,65.517,83.089,48.394,12.715
2020-12-15,203.80800000000002,33.43,51.769000000000005,99.925,41.065999999999995,10.295
2020-12-16,152.029,26.065,47.282000000000004,74.212,34.839999999999996,9.313
2020-12-17,167.799,31.098,47.929,94.652,33.18,12.154
2020-12-18,151.08,26.454,63.361999999999995,86.25999999999999,41.801,19.541
2020-12-19,266.55,60.29,86.825,154.68099999999998,68.24,14.524000000000001
2020-12-20,276.911,89.851,77.313,142.972,64.273,14.386
2020-12-21,136.041,37.057,48.468,84.045,30.846,12.997
2020-12-22,152.185,27.345999999999997,38.698,76.199,38.615,11.078999999999999
2020-12-23,143.966,39.823,43.83,67.604,41.738,9.4
2020-12-24,218.53300000000002,39.293,61.82299999999999,76.09,37.463,9.801
2020-12-25,159.654,33.711,65.984,148.943,53.083,10.328
2020-12-26,285.224,62.717,103.905,136.159,52.907000000000004,16.19
2020-12-27,288.755,51.016000000000005,93.232,118.129,52.745,11.874
2020-12-28,251.45499999999998,33.949,63.262,69.819,45.863,13.266
2020-12-29,223.512,33.714,54.92399999999999,79.647,28.906000000000002,12.741000000000001
2020-12-30,146.39,33.438,75.742,66.631,32.167,16.318
2020-12-31,179.177,23.092,73.305,120.945,45.583999999999996,20.724999999999998
2021-01-01,224.797,55.985,91.56899999999999,136.338,67.733,18.037
2021-01-02,212.911,31.833,102.214,115.296,62.422,18.302
2021-01-03,224.88,50.09,76.505,103.871,73.797,13.385
2021-01-04,177.80100000000002,24.728,68.24799999999999,95.499,58.505,9.866999999999999
2021-01-05,154.654,49.049,89.144,83.705,37.556,14.439
2021-01-06,176.82399999999998,51.711,49.852,81.462,44.528000000000006,13.689
2021-01-07,161.628,42.427,54.723,96.002,50.183,12.56
2021-01-08,234.46200000000002,29.703000000000003,53.903999999999996,90.415,37.342,12.049
2021-01-09,233.427,47.188,90.49000000000001,129.833,78.49799999999999,17.965
2021-01-10,250.645,57.696,79.56299999999999,137.986,68.36500000000001,23.755
2021-01-11,182.204,28.862000000000002,47.911,81.67,46.768,15.841000000000001
2021-01-12,173.449,18.847,55.595,73.283,35.595,6.304
2021-01-13,172.101,25.301,40.616,76.684,37.065000000000005,0.0
2021-01-14,148.947,34.119,43.510000000000005,75.963,39.296,18.643
2021-01-15,171.213,30.979,51.428,101.383,39.211,14.644
2021-01-16,252.82500000000002,45.807,82.624,150.015,76.17399999999999,20.109
2021-01-17,228.99099999999999,45.21,67.482,141.492,74.534,24.613
