日期,分类编码,分类名称,销量,销售额,交易笔数,打折笔数,打折销量,在售单品数,平均零售单价(元/千克),打折销量占比
2020-07-01,1011010101,花叶类,205.40200000000002,1503.7896,445,32,13.685,16,7.3212023251964435,0.06662544668503714
2020-07-01,1011010201,花菜类,47.076,598.634,102,0,0.0,2,12.716331039170703,0.0
2020-07-01,1011010402,水生根茎类,4.85,70.2838,15,0,0.0,2,14.491505154639176,0.0
2020-07-01,1011010501,茄类,35.374,176.81799999999998,60,0,0.0,2,4.998529993780742,0.0
2020-07-01,1011010504,辣椒类,76.715,759.9902,259,0,0.0,9,9.9066701427361,0.0
2020-07-01,1011010801,食用菌,35.364999999999995,368.602,120,1,0.195,5,10.422790894952637,0.005513926198218578
2020-07-02,1011010101,花叶类,198.362,1409.6647,423,34,19.362,16,7.106525947510108,0.09760942115929462
2020-07-02,1011010201,花菜类,43.943,546.032,95,0,0.0,2,12.4259153903921,0.0
2020-07-02,1011010402,水生根茎类,4.6,53.1208,14,0,0.0,2,11.548000000000002,0.0
2020-07-02,1011010501,茄类,32.199,172.09199999999998,56,0,0.0,2,5.344638032237026,0.0
2020-07-02,1011010504,辣椒类,66.06400000000001,669.7044,226,0,0.0,10,10.137206345362072,0.0
2020-07-02,1011010801,食用菌,48.510000000000005,605.929,160,0,0.0,5,12.490806019377446,0.0
2020-07-03,1011010101,花叶类,191.779,1406.4065,405,13,6.832,16,7.333474989440972,0.0356243384312151
2020-07-03,1011010201,花菜类,42.076,495.368,96,0,0.0,2,11.773172354786576,0.0
2020-07-03,1011010402,水生根茎类,9.572000000000001,76.693,30,15,5.162,1,8.012223150856665,0.5392812369410781
2020-07-03,1011010501,茄类,35.896,196.243,57,0,0.0,2,5.466987965232895,0.0
2020-07-03,1011010504,辣椒类,64.253,670.6646,227,0,0.0,10,10.43787216161113,0.0
2020-07-03,1011010801,食用菌,42.44199999999999,546.2950000000001,149,0,0.0,5,12.87156590170115,0.0
2020-07-04,1011010101,花叶类,236.587,1841.4,526,3,2.0140000000000002,13,7.783183353269623,0.008512724705922136
2020-07-04,1011010201,花菜类,55.662,702.1859999999999,126,0,0.0,2,12.615177320254391,0.0
2020-07-04,1011010402,水生根茎类,5.439,118.75319999999999,16,0,0.0,2,21.833645890788745,0.0
2020-07-04,1011010501,茄类,57.067,327.403,99,0,0.0,2,5.7371685913049575,0.0
2020-07-04,1011010504,辣椒类,81.28200000000001,826.4166,293,1,0.444,10,10.167276887871852,0.005462464014172879
2020-07-04,1011010801,食用菌,47.262,578.7036,171,3,0.438,5,12.244585502094708,0.009267487622191189
2020-07-05,1011010101,花叶类,223.899,1573.1793,508,6,4.253,13,7.026289978963729,0.01899517193020067
2020-07-05,1011010201,花菜类,55.474000000000004,697.982,106,0,0.0,2,12.582146591195874,0.0
2020-07-05,1011010402,水生根茎类,4.019,40.19,12,0,0.0,1,10.0,0.0
2020-07-05,1011010501,茄类,61.816,411.3631,111,2,0.874,3,6.654637957810275,0.014138734308269703
2020-07-05,1011010504,辣椒类,98.496,1016.2366,352,1,0.465,10,10.317541829109812,0.004721003898635478
2020-07-05,1011010801,食用菌,73.213,732.6238000000001,207,0,0.0,5,10.006744703809435,0.0
2020-07-06,1011010101,花叶类,195.74,1511.5968,419,15,12.301,14,7.722472667824666,0.06284356799836517
2020-07-06,1011010201,花菜类,42.721000000000004,506.3038,86,1,0.444,2,11.851403291121462,0.010393015144776573
2020-07-06,1011010402,水生根茎类,3.089,30.7757,11,1,0.381,1,9.962997733894465,0.12334088701845258
2020-07-06,1011010501,茄类,30.727000000000004,201.412,57,0,0.0,3,6.554886581833566,0.0
2020-07-06,1011010504,辣椒类,58.682,645.2908,223,0,0.0,10,10.996400940663236,0.0
2020-07-06,1011010801,食用菌,40.578,487.60300000000007,137,1,1.0,6,12.016437478436591,0.024643895707033365
2020-07-07,1011010101,花叶类,175.052,1348.709,379,24,15.177,15,7.704619198866623,0.08669995201425862
2020-07-07,1011010201,花菜类,45.749,526.991,97,0,0.0,2,11.519180747120155,0.0
2020-07-07,1011010402,水生根茎类,3.117,31.17,11,0,0.0,1,10.0,0.0
2020-07-07,1011010501,茄类,32.112,186.848,56,0,0.0,2,5.818634778276034,0.0
2020-07-07,1011010504,辣椒类,42.213,531.0704,191,0,0.0,10,12.580731054414516,0.0
2020-07-07,1011010801,食用菌,52.56,622.3339,175,2,1.441,7,11.84044710806697,0.02741628614916286
2020-07-08,1011010101,花叶类,158.57,1251.845,331,26,15.216,16,7.894589140442707,0.095957621239831
2020-07-08,1011010201,花菜类,45.43300000000001,532.102,95,0,0.0,2,11.71179539101534,0.0
2020-07-08,1011010402,水生根茎类,10.605,155.484,26,0,0.0,2,14.661386138613862,0.0
2020-07-08,1011010501,茄类,39.67,232.2832,64,1,0.576,2,5.855386942273758,0.014519788253087975
2020-07-08,1011010504,辣椒类,65.88,768.061,242,8,2.6470000000000002,10,11.658485124468733,0.04017911353976929
2020-07-08,1011010801,食用菌,43.968,565.4192,153,0,0.0,5,12.859788937409025,0.0
2020-07-09,1011010101,花叶类,187.439,1395.7574,391,1,0.288,15,7.446462048986604,0.0015364998746258782
2020-07-09,1011010201,花菜类,41.131,496.204,89,0,0.0,2,12.063990663976076,0.0
2020-07-09,1011010402,水生根茎类,2.106,21.060000000000002,7,0,0.0,1,10.000000000000002,0.0
2020-07-09,1011010501,茄类,25.921,205.52,48,0,0.0,3,7.928706454226304,0.0
2020-07-09,1011010504,辣椒类,58.86,615.355,219,0,0.0,10,10.454553177030242,0.0
2020-07-09,1011010801,食用菌,37.837,464.1238,133,0,0.0,5,12.266400613156433,0.0
2020-07-10,1011010101,花叶类,179.833,1305.5266,383,49,24.869,16,7.259660907619847,0.13828941295535302
2020-07-10,1011010201,花菜类,62.343999999999994,659.9567999999999,136,10,5.177,2,10.585730784036956,0.08303926600795586
2020-07-10,1011010402,水生根茎类,9.025,128.7304,28,1,0.244,2,14.26375623268698,0.02703601108033241
2020-07-10,1011010501,茄类,37.86,268.35069999999996,62,6,3.698,3,7.087974115161119,0.097675647120972
2020-07-10,1011010504,辣椒类,58.936,714.7903,243,11,2.27,8,12.128245893850957,0.038516356725940004
2020-07-10,1011010801,食用菌,41.429,470.8101,135,21,4.399,6,11.364264162784522,0.10618166018972217
2020-07-11,1011010101,花叶类,271.12,2106.3287,571,71,32.209,15,7.76899048391856,0.1187997934493951
2020-07-11,1011010201,花菜类,76.564,784.2707,139,14,7.188,2,10.24333498772269,0.0938822423070895
2020-07-11,1011010402,水生根茎类,8.928,132.1233,23,4,1.522,2,14.798756720430106,0.1704749103942652
2020-07-11,1011010501,茄类,68.277,405.20640000000003,116,13,7.954,2,5.93474229974955,0.11649603819734317
2020-07-11,1011010504,辣椒类,85.93599999999999,1060.3598,306,33,8.483,9,12.33894758890337,0.09871299571774345
2020-07-11,1011010801,食用菌,52.238,700.3148000000001,184,16,3.681,5,13.406233010452164,0.07046594433171255
2020-07-12,1011010101,花叶类,300.189,2195.9922,653,67,28.834,15,7.315365319848495,0.0960528200566976
2020-07-12,1011010201,花菜类,71.615,777.0745000000001,148,17,7.611,2,10.85072261397752,0.10627661802694967
2020-07-12,1011010402,水生根茎类,13.994,247.96040000000002,36,4,1.369,3,17.719051021866516,0.09782764041732171
2020-07-12,1011010501,茄类,81.706,582.6195,135,17,8.576,3,7.130681957261401,0.10496169191981006
2020-07-12,1011010504,辣椒类,72.459,855.2597000000001,297,26,6.2860000000000005,10,11.80336052112229,0.08675250831504713
2020-07-12,1011010801,食用菌,55.96,678.7291,185,14,5.186,6,12.128825947105074,0.09267333809864188
2020-07-13,1011010101,花叶类,190.832,1422.2043999999999,396,39,19.911,13,7.452651546910371,0.1043378469019871
2020-07-13,1011010201,花菜类,32.028,315.37620000000004,73,7,2.807,2,9.846890221056578,0.08764206319470463
2020-07-13,1011010402,水生根茎类,11.605,164.1054,31,3,1.263,2,14.140922016372253,0.10883239982766048
2020-07-13,1011010501,茄类,44.379,306.6984,79,2,1.117,3,6.9108902859460555,0.02516956218031051
2020-07-13,1011010504,辣椒类,61.24,662.7452,220,15,3.297,10,10.822096668843892,0.05383736120182887
2020-07-13,1011010801,食用菌,42.113,544.001,145,8,2.313,5,12.917650131788283,0.05492365777788332
2020-07-14,1011010101,花叶类,190.59900000000002,1375.1632,413,17,7.468,13,7.2149549577909635,0.039181737574698706
2020-07-14,1011010201,花菜类,57.575,558.9169,115,10,4.54,2,9.707631784628745,0.07885366912722536
2020-07-14,1011010402,水生根茎类,9.007,135.8165,22,1,0.325,2,15.078994115687799,0.03608304651937382
2020-07-14,1011010501,茄类,34.747,225.4722,64,4,2.987,3,6.488968831841597,0.08596425590698478
2020-07-14,1011010504,辣椒类,66.745,710.1373,225,11,3.472,10,10.63955801932729,0.05201887781856319
2020-07-14,1011010801,食用菌,44.836,537.0122,148,10,3.988,7,11.97725488446784,0.08894638237130877
2020-07-15,1011010101,花叶类,218.094,1481.9327,456,19,8.450000000000001,12,6.79492649958275,0.03874476143314351
2020-07-15,1011010201,花菜类,37.962,375.1279,77,7,3.0680000000000005,2,9.881668510615878,0.0808176597650282
2020-07-15,1011010402,水生根茎类,10.238000000000001,151.4427,24,2,0.623,2,14.792215276421175,0.06085172885329165
2020-07-15,1011010501,茄类,38.17,274.55,70,1,0.414,3,7.192821587634268,0.01084621430442756
2020-07-15,1011010504,辣椒类,73.35400000000001,749.7708,242,13,4.27,10,10.221266733920439,0.0582108678463342
2020-07-15,1011010801,食用菌,42.196,494.03610000000003,139,12,4.417,7,11.708126362688407,0.10467816854678169
2020-07-16,1011010101,花叶类,215.526,1535.9922,463,41,19.977,13,7.126714178335791,0.09268951309818768
2020-07-16,1011010201,花菜类,39.45,417.22800000000007,83,9,4.15,2,10.576121673003803,0.10519645120405577
2020-07-16,1011010402,水生根茎类,11.354000000000001,162.7251,30,3,1.171,2,14.33196230403382,0.10313545886912101
2020-07-16,1011010501,茄类,26.586,192.9674,54,5,2.5549999999999997,3,7.258233656811856,0.0961032122169563
2020-07-16,1011010504,辣椒类,72.656,764.0534,237,27,8.331,10,10.516039969169785,0.11466362034794096
2020-07-16,1011010801,食用菌,53.685,641.0918,169,13,3.595,7,11.941730464748067,0.06696470149948776
2020-07-17,1011010101,花叶类,201.67000000000002,1377.6054000000001,431,53,28.238,14,6.83098824812813,0.14002082610204789
2020-07-17,1011010201,花菜类,44.198,455.7297,92,10,4.343,2,10.311093262138558,0.09826236481288746
2020-07-17,1011010402,水生根茎类,10.727,154.124,29,0,0.0,2,14.367856809918896,0.0
2020-07-17,1011010501,茄类,37.251000000000005,294.065,69,8,4.752,3,7.894150492604225,0.12756704517999515
2020-07-17,1011010504,辣椒类,61.025000000000006,690.4716,218,20,5.205,10,11.314569438754607,0.08529291274068004
2020-07-17,1011010801,食用菌,51.908,656.7742000000001,169,17,5.922,7,12.652658549741853,0.11408646066116976
2020-07-18,1011010101,花叶类,275.265,2023.5223,603,95,43.975,13,7.351179045646923,0.1597551450420504
2020-07-18,1011010201,花菜类,61.087999999999994,634.3341,128,24,9.717,2,10.38393956259822,0.1590656102671556
2020-07-18,1011010402,水生根茎类,10.418,151.25990000000002,24,8,3.176,2,14.519091956229605,0.30485697830677677
2020-07-18,1011010501,茄类,56.585,393.6409,95,14,8.432,3,6.956629848899885,0.14901475656092605
2020-07-18,1011010504,辣椒类,85.051,987.4653,318,45,13.839,10,11.61027265993345,0.16271413622414788
2020-07-18,1011010801,食用菌,71.884,884.5590000000001,227,44,15.003,7,12.305366980134663,0.2087112570252073
2020-07-19,1011010101,花叶类,321.164,2307.3773,678,109,51.964999999999996,12,7.184420732087034,0.16180206997048235
2020-07-19,1011010201,花菜类,76.351,809.2379000000001,165,18,8.423,2,10.598916844573091,0.1103194457178033
2020-07-19,1011010402,水生根茎类,11.123999999999999,159.4384,25,8,2.92,2,14.332829917295939,0.2624955052139518
2020-07-19,1011010501,茄类,71.772,556.3027999999999,125,20,11.955,3,7.750972524104106,0.16656913559605416
2020-07-19,1011010504,辣椒类,103.77600000000001,1116.3662,345,34,10.843,10,10.757460299105764,0.10448465926611161
2020-07-19,1011010801,食用菌,80.322,1123.2615,286,43,9.954,7,13.984481213117204,0.1239261970568462
2020-07-20,1011010101,花叶类,204.99699999999999,1412.958,432,44,22.66,12,6.892578915789012,0.11053820299809267
2020-07-20,1011010201,花菜类,47.431,411.38919999999996,99,11,4.921,2,8.673424553562016,0.10375071155995025
2020-07-20,1011010402,水生根茎类,9.548,134.2522,23,2,0.5449999999999999,2,14.060766652702135,0.057080016757436104
