日期,单品编码,单品名称,分类编码,分类名称,销量,销售额,交易笔数,打折笔数,打折销量,平均零售单价(元/千克)
2023-06-24,102900005115250,西峡花菇(1),1011010801,食用菌,6.18,148.32,32,0,0.0,24.0
2023-06-24,102900005115762,苋菜,1011010101,花叶类,14.396,57.584,27,0,0.0,4.0
2023-06-24,102900005115786,竹叶菜,1011010101,花叶类,16.569,66.276,42,0,0.0,4.0
2023-06-24,102900005115823,上海青,1011010101,花叶类,5.127,41.016,13,0,0.0,8.0
2023-06-24,102900005115908,菜心,1011010101,花叶类,4.112,24.672,10,0,0.0,6.0
2023-06-24,102900005115946,木耳菜,1011010101,花叶类,2.769,15.8892,8,2,0.839,5.738244853737811
2023-06-24,102900005116257,紫茄子(2),1011010501,茄类,13.573,81.438,26,0,0.0,6.0
2023-06-24,102900005116509,青茄子(1),1011010501,茄类,7.098,42.588,12,0,0.0,6.0
2023-06-24,102900005116714,西兰花,1011010201,花菜类,9.387,131.418,23,0,0.0,14.0
2023-06-24,102900005116899,净藕(1),1011010402,水生根茎类,7.656,116.984,17,4,1.899,15.280041797283177
2023-06-24,102900005118817,菠菜,1011010101,花叶类,3.252,45.528,8,0,0.0,14.0
2023-06-24,102900005118824,高瓜(1),1011010402,水生根茎类,3.0460000000000003,42.768,8,3,1.091,14.040709126723572
2023-06-24,102900005118831,娃娃菜,1011010101,花叶类,9.0,55.8,9,2,2.0,6.199999999999999
2023-06-24,102900005119975,红薯尖,1011010101,花叶类,4.011,24.066,12,0,0.0,6.0
2023-06-24,102900011000328,螺丝椒,1011010504,辣椒类,9.3,93.0,29,0,0.0,10.0
2023-06-24,102900011001691,菱角,1011010402,水生根茎类,1.77,24.78,3,0,0.0,14.0
2023-06-24,102900011006948,外地茼蒿,1011010101,花叶类,3.68,44.16,8,0,0.0,11.999999999999998
2023-06-24,102900011007969,红莲藕带,1011010402,水生根茎类,0.862,7.930399999999999,4,0,0.0,9.2
2023-06-24,102900011008164,奶白菜,1011010101,花叶类,6.609,34.3668,16,0,0.0,5.199999999999999
2023-06-24,102900011016701,芜湖青椒(1),1011010504,辣椒类,17.986,93.52720000000001,51,0,0.0,5.2
2023-06-24,102900011022764,长线茄,1011010501,茄类,6.831,81.972,17,0,0.0,11.999999999999998
2023-06-24,102900011023464,小青菜(1),1011010101,花叶类,5.97,31.044,13,0,0.0,5.2
2023-06-24,102900011030059,云南生菜(份),1011010101,花叶类,58.0,248.4,58,9,9.0,4.2827586206896555
2023-06-24,102900011030097,云南油麦菜(份),1011010101,花叶类,26.0,113.4,26,2,2.0,4.361538461538462
2023-06-24,102900011030110,菠菜(份),1011010101,花叶类,2.0,8.7,2,1,1.0,4.35
2023-06-24,102900011031100,小米椒(份),1011010504,辣椒类,20.0,116.0,20,0,0.0,5.8
2023-06-24,102900011031926,虫草花(份),1011010801,食用菌,3.0,11.399999999999999,3,0,0.0,3.7999999999999994
2023-06-24,102900011032022,小皱皮(份),1011010504,辣椒类,18.0,49.3,18,2,2.0,2.738888888888889
2023-06-24,102900011032237,青线椒(份),1011010504,辣椒类,1.0,4.8,1,0,0.0,4.8
2023-06-24,102900011032251,螺丝椒(份),1011010504,辣椒类,15.0,58.5,15,0,0.0,3.9
2023-06-24,102900011032343,七彩椒(2),1011010504,辣椒类,0.9510000000000001,17.234,5,1,0.202,18.12197686645636
2023-06-24,102900011032848,姜蒜小米椒组合装(小份),1011010504,辣椒类,7.0,33.6,7,2,2.0,4.8
2023-06-24,102900011034026,枝江青梗散花,1011010201,花菜类,2.161,30.253999999999998,4,0,0.0,13.999999999999998
2023-06-24,102900011034330,双孢菇(盒),1011010801,食用菌,12.0,61.6,12,2,2.0,5.133333333333334
2023-06-24,102900011034439,青红杭椒组合装(份),1011010504,辣椒类,1.0,5.8,1,0,0.0,5.8
2023-06-24,102900011035078,红椒(2),1011010504,辣椒类,3.95,72.92,17,4,1.045,18.460759493670885
2023-06-24,102900011035740,蟹味菇与白玉菇双拼(盒),1011010801,食用菌,2.0,9.3,2,1,1.0,4.65
2023-06-24,102900051000463,圆茄子(2),1011010501,茄类,0.867,6.936,2,0,0.0,8.0
2023-06-24,102900051000944,洪湖藕带,1011010402,水生根茎类,2.7199999999999998,65.858,7,1,0.374,24.212500000000002
2023-06-24,106949711300259,金针菇(盒),1011010801,食用菌,18.0,32.0,18,6,6.0,1.7777777777777777
2023-06-24,106971533450003,海鲜菇(包),1011010801,食用菌,13.0,33.0,13,6,6.0,2.5384615384615383
2023-06-25,102900005115250,西峡花菇(1),1011010801,食用菌,4.271,102.504,21,0,0.0,24.0
2023-06-25,102900005115762,苋菜,1011010101,花叶类,9.824,39.296,19,0,0.0,4.0
2023-06-25,102900005115779,云南生菜,1011010101,花叶类,0.5569999999999999,5.1244,2,0,0.0,9.200000000000001
2023-06-25,102900005115786,竹叶菜,1011010101,花叶类,13.941,55.764,32,0,0.0,4.0
2023-06-25,102900005115823,上海青,1011010101,花叶类,1.383,11.064,4,0,0.0,8.0
2023-06-25,102900005115908,菜心,1011010101,花叶类,1.242,7.452,3,0,0.0,6.0
2023-06-25,102900005115946,木耳菜,1011010101,花叶类,4.548,27.288,11,0,0.0,6.0
2023-06-25,102900005115984,云南油麦菜,1011010101,花叶类,4.232,30.4704,11,0,0.0,7.2
2023-06-25,102900005116257,紫茄子(2),1011010501,茄类,16.448,98.688,32,0,0.0,6.0
2023-06-25,102900005116509,青茄子(1),1011010501,茄类,3.758,22.548000000000002,6,0,0.0,6.000000000000001
2023-06-25,102900005116714,西兰花,1011010201,花菜类,10.681,149.534,26,0,0.0,14.0
2023-06-25,102900005116899,净藕(1),1011010402,水生根茎类,5.251,72.64,10,3,2.08,13.833555513235574
