单品编码,单品名称,分类编码,分类名称,该周销售天数,该周总销量,该周日均销量,该周销售额,该周打折笔数,该周平均零售单价,6-30成本价(元/千克),该周成本加成率,单品损耗率(%),品类平均损耗率(%),成本价异常标记
102900011030059,云南生菜(份),1011010101,花叶类,7,226.0,32.285714285714285,1008.3,39,4.461504424778761,3.49,0.2783680300225675,9.43,12.83,0
102900011031100,小米椒(份),1011010504,辣椒类,7,150.0,21.428571428571427,865.4,3,5.769333333333333,2.11,1.7342812006319117,9.43,9.24,0
102900011030097,云南油麦菜(份),1011010101,花叶类,7,149.0,21.285714285714285,619.7,35,4.159060402684564,2.84,0.46445788826921275,9.43,12.83,0
106949711300259,金针菇(盒),1011010801,食用菌,7,113.0,16.142857142857142,212.4,18,1.879646017699115,1.45,0.2963075984131829,0.45,9.45,0
102900011016701,芜湖青椒(1),1011010504,辣椒类,7,99.634,14.233428571428572,518.0968,0,5.2,3.63,0.43250688705234164,5.7,9.24,0
102900005115786,竹叶菜,1011010101,花叶类,7,93.077,13.296714285714286,350.438,0,3.7650332520386347,2.15,0.7511782567621557,13.62,12.83,0
102900005116714,西兰花,1011010201,花菜类,7,87.904,12.557714285714285,1085.486,0,12.348539315617039,7.59,0.6269485264317574,9.26,15.51,0
102900011032022,小皱皮(份),1011010504,辣椒类,7,79.0,11.285714285714286,204.29999999999998,16,2.586075949367088,2.1,0.23146473779385146,9.43,9.24,0
102900011032251,螺丝椒(份),1011010504,辣椒类,7,79.0,11.285714285714286,388.9,3,4.922784810126582,4.29,0.14750228674279287,9.43,9.24,0
102900005116257,紫茄子(2),1011010501,茄类,7,76.32,10.902857142857142,457.92,0,6.000000000000001,3.43,0.7492711370262393,6.07,6.68,0
102900005118831,娃娃菜,1011010101,花叶类,7,73.0,10.428571428571429,477.5,11,6.541095890410959,4.4,0.48661270236612686,2.48,12.83,0
102900011034330,双孢菇(盒),1011010801,食用菌,7,70.0,10.0,352.1,17,5.03,3.41,0.4750733137829912,0.2,9.45,0
102900005115762,苋菜,1011010101,花叶类,7,62.461,8.923,238.2022,0,3.8136148956949136,2.21,0.7256175998619518,18.52,12.83,0
106971533450003,海鲜菇(包),1011010801,食用菌,7,62.0,8.857142857142858,170.4,16,2.7483870967741937,1.95,0.40942928039702253,0.0,9.45,0
