日期,单品编码,单品名称,分类编码,分类名称,销量,销售额,交易笔数,打折笔数,打折销量,平均零售单价(元/千克),当日成本价(元/千克),单品损耗率(%),品类平均损耗率(%),成本加成率,有效单位成本(元/千克),成本价异常标记
2020-07-01,102900005115762,苋菜,1011010101,花叶类,6.841,41.046,11,0,0.0,6.0,3.88,18.52,12.83,0.5463917525773196,4.761904761904762,0
2020-07-01,102900005117209,七彩椒(1),1011010504,辣椒类,1.909,30.544,5,0,0.0,16.0,7.58,15.98,9.24,1.1108179419525066,9.021661509164485,0
2020-07-01,102900005118817,菠菜,1011010101,花叶类,5.4719999999999995,76.608,14,0,0.0,14.000000000000002,8.47,18.51,12.83,0.6528925619834711,10.393913363602897,0
2020-07-01,102900005118824,高瓜(1),1011010402,水生根茎类,4.119,41.19,13,0,0.0,10.0,5.65,29.25,13.65,0.7699115044247786,7.985865724381625,0
2020-07-01,102900005118831,娃娃菜,1011010101,花叶类,10.0,68.5,10,1,1.0,6.85,4.13,2.48,12.83,0.6585956416464891,4.235028712059065,0
2020-07-01,102900005119944,海鲜菇(1),1011010801,食用菌,0.783,12.528,3,0,0.0,16.0,10.29,9.89,9.45,0.554907677356657,11.419376317833757,0
2020-07-01,102900005119975,红薯尖,1011010101,花叶类,22.402,109.042,58,31,12.685,4.867511829300955,3.6,8.42,12.83,0.3520866192502654,3.9309892989735755,0
2020-07-01,102900005125808,小米椒,1011010504,辣椒类,4.383,113.0814,45,0,0.0,25.8,12.1,5.86,9.24,1.1322314049586777,12.853197365625663,0
2020-07-01,102900005125815,杏鲍菇(1),1011010801,食用菌,11.888,118.88,37,0,0.0,10.0,6.16,5.05,9.45,0.6233766233766234,6.487625065824118,0
2020-07-01,102900011001219,红灯笼椒(1),1011010504,辣椒类,1.953,27.342,7,0,0.0,13.999999999999998,8.24,8.93,9.24,0.6990291262135919,9.047985066432414,0
2020-07-01,102900011006948,外地茼蒿,1011010101,花叶类,2.623,41.968,9,0,0.0,16.0,11.69,26.16,12.83,0.3686911890504705,15.831527627302275,0
2020-07-01,102900011008522,甜白菜,1011010101,花叶类,18.271,146.168,32,0,0.0,8.0,4.44,9.43,12.83,0.8018018018018016,4.902285525008281,0
2020-07-01,102900011009970,青梗散花,1011010201,花菜类,12.086,108.774,24,0,0.0,9.0,6.03,17.06,15.51,0.4925373134328357,7.270315891005546,0
2020-07-01,102900051000944,洪湖藕带,1011010402,水生根茎类,0.7310000000000001,29.093799999999998,2,0,0.0,39.79999999999999,29.43,24.05,13.65,0.3523615358477741,38.74917709019092,0
2020-07-01,102900051004294,青线椒,1011010504,辣椒类,5.51,77.14,25,0,0.0,14.0,6.81,7.8,9.24,1.0558002936857562,7.386117136659435,0
2020-07-01,102900051010455,黄白菜(2),1011010101,花叶类,6.5489999999999995,58.940999999999995,11,0,0.0,9.0,4.63,15.61,12.83,0.9438444924406049,5.486432041711103,0
2020-07-01,102900005117056,泡泡椒(精品),1011010504,辣椒类,54.548,414.5648,137,0,0.0,7.6,4.32,7.08,9.24,0.7592592592592591,4.649160568230736,0
2020-07-01,102900005116943,红杭椒,1011010504,辣椒类,2.129,38.322,11,0,0.0,18.0,7.83,9.99,9.24,1.2988505747126435,8.699033440728808,0
2020-07-01,102900005123880,灯笼椒(1),1011010504,辣椒类,0.927,11.124,3,0,0.0,12.0,7.5,16.33,9.24,0.6000000000000001,8.963786303334528,0
2020-07-01,102900005116790,黄心菜(1),1011010101,花叶类,4.837,38.696,7,0,0.0,8.0,3.97,10.64,12.83,1.0151133501259446,4.4427036705461065,0
2020-07-01,102900005116912,姬菇(1),1011010801,食用菌,1.138,15.932000000000002,6,0,0.0,14.000000000000004,8.16,8.99,9.45,0.7156862745098043,8.966047687067356,0
2020-07-01,102900005115779,云南生菜,1011010101,花叶类,41.966,335.728,114,0,0.0,8.0,6.72,15.25,12.83,0.19047619047619047,7.929203539823008,0
2020-07-01,102900005115786,竹叶菜,1011010101,花叶类,11.352,68.11200000000001,24,0,0.0,6.000000000000001,3.19,13.62,12.83,0.8808777429467087,3.692984487149803,0
2020-07-01,102900005115793,小白菜,1011010101,花叶类,4.288,68.608,11,0,0.0,16.0,9.24,7.59,12.83,0.7316017316017316,9.998917866031814,0
2020-07-01,102900005115823,上海青,1011010101,花叶类,11.475999999999999,114.76,28,0,0.0,10.000000000000002,7.03,14.43,12.83,0.42247510668563315,8.215496085076545,0
2020-07-01,102900005115946,木耳菜,1011010101,花叶类,3.039,21.273,9,0,0.0,7.0,4.2,7.61,12.83,0.6666666666666665,4.54594653100985,0
2020-07-01,102900005115960,大白菜,1011010101,花叶类,14.748,47.1936,16,0,0.0,3.2,2.1,22.27,12.83,0.5238095238095237,2.701659590891548,0
2020-07-01,102900005115984,云南油麦菜,1011010101,花叶类,32.579,195.47400000000002,71,0,0.0,6.0,3.44,12.81,12.83,0.7441860465116279,3.9454065833237757,0
2020-07-01,102900005115908,菜心,1011010101,花叶类,8.959,71.672,20,0,0.0,8.0,4.6,13.7,12.83,0.7391304347826089,5.330243337195828,0
2020-07-01,102900005116233,红椒(1),1011010504,辣椒类,2.512,25.12,17,0,0.0,10.0,5.76,11.76,9.24,0.7361111111111112,6.527651858567543,0
2020-07-01,102900005116257,紫茄子(2),1011010501,茄类,17.661,105.966,32,0,0.0,5.999999999999999,6.56,6.07,6.68,-0.08536585365853666,6.9839241988715,0
2020-07-01,102900005116509,青茄子(1),1011010501,茄类,17.713,70.852,28,0,0.0,4.0,1.63,5.01,6.68,1.4539877300613497,1.715970102116012,0
2020-07-01,102900005116530,西峡香菇(1),1011010801,食用菌,7.693,138.084,40,1,0.195,17.94930456258937,10.8,13.82,9.45,0.6619726446842007,12.531909955906244,0
2020-07-01,102900005116547,金针菇(1),1011010801,食用菌,13.863,83.178,34,0,0.0,6.0,4.06,3.43,9.45,0.47783251231527113,4.204204204204204,0
2020-07-01,102900005116714,西兰花,1011010201,花菜类,34.99,489.86,78,0,0.0,14.0,9.23,9.26,15.51,0.5167930660888407,10.17191977077364,0
2020-07-01,102900005116226,青尖椒,1011010504,辣椒类,2.844,22.752,9,0,0.0,8.0,4.64,6.72,9.24,0.7241379310344829,4.974271012006861,0
2020-07-02,102900005118824,高瓜(1),1011010402,水生根茎类,4.342,43.42,13,0,0.0,10.000000000000002,5.76,29.25,13.65,0.7361111111111114,8.141342756183745,0
2020-07-02,102900005125815,杏鲍菇(1),1011010801,食用菌,10.164,101.64,32,0,0.0,10.0,6.15,5.05,9.45,0.6260162601626016,6.477093206951027,0
